Task,Train_conditions,Test_condition,Method,Method_name,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth,Setting
S2_C1_to_C6,C1,C6,B12,FGDS-PSI,0.8782894736842105,0.8757167314190092,0.8169014084507042,0.8745762711864407,0.935672514619883,0.7771084337349398,1.0,0.0,0.0,0,0,0.0103907565768577,Single-source
S3_C4_to_C1,C4,C1,B8,Relative-stage TCN,0.9144736842105264,0.9172001058709356,0.8947368421052632,0.8898305084745762,0.967032967032967,0.84,0.945945945945946,0.0,0.0540540540540535,0,0,0.0141091980040073,Single-source
S3_C4_to_C1,C4,C1,B9,Relative-stage GRU,0.8848684210526315,0.8869208508556583,0.9072164948453608,0.8416289592760181,0.911917098445596,0.8454545454545455,0.8378378378378378,0.0090090090090089,0.1531531531531517,1,0,0.0232141390442848,Single-source
S3_C4_to_C1,C4,C1,B10,Relative-stage TCN-GRU,0.9144736842105264,0.9176749843063402,0.8854166666666666,0.8898305084745762,0.9777777777777776,0.84,0.945945945945946,0.0180180180180178,0.0360360360360357,1,0,0.0207897722721099,Single-source
S3_C4_to_C1,C4,C1,B11,Multi-task TCN-GRU,0.9144736842105264,0.9172001058709356,0.8947368421052632,0.8898305084745762,0.967032967032967,0.84,0.945945945945946,0.0,0.0540540540540535,0,0,0.0143536006042076,Single-source
S3_C4_to_C1,C4,C1,B12,FGDS-PSI,0.924342105263158,0.927084974828364,0.900523560209424,0.9029535864978904,0.9777777777777776,0.8492063492063492,0.963963963963964,0.0,0.0360360360360357,0,0,0.013449135058155,Single-source
S4_C4_to_C6,C4,C6,B8,Relative-stage TCN,0.9342105263157896,0.938141277675012,0.9818181818181818,0.918032786885246,0.914572864321608,0.9739130434782608,0.8682170542635659,0.0,0.1317829457364331,4,0,0.0533552505075931,Single-source
S4_C4_to_C6,C4,C6,B9,Relative-stage GRU,0.8355263157894737,0.8464285714285714,0.95,0.7767857142857143,0.8125,0.9157894736842104,0.6744186046511628,0.0,0.3255813953488347,2,0,0.0385879464447498,Single-source
S4_C4_to_C6,C4,C6,B10,Relative-stage TCN-GRU,0.756578947368421,0.7698246511364234,0.8874172185430463,0.6605504587155964,0.7615062761506276,0.8089887640449438,0.5581395348837209,0.0,0.4418604651162756,1,0,0.0349251888692379,Single-source
S4_C4_to_C6,C4,C6,B11,Multi-task TCN-GRU,0.7697368421052632,0.7837405257216578,0.9230769230769232,0.6698113207547169,0.7583333333333333,0.8554216867469879,0.5503875968992248,0.0,0.4496124031007717,1,0,0.0304187786198304,Single-source
S4_C4_to_C6,C4,C6,B12,FGDS-PSI,0.7730263157894737,0.7868798457519066,0.9230769230769232,0.676056338028169,0.7615062761506276,0.8571428571428571,0.5581395348837209,0.0,0.4418604651162756,1,0,0.0244466354097041,Single-source
S5_C6_to_C1,C6,C1,B8,Relative-stage TCN,0.7072368421052632,0.6408714252258972,0.9175257731958762,0.7138263665594855,0.2912621359223301,0.555,1.0,0.0,0.0,1,0,0.030975492671132,Single-source
S5_C6_to_C1,C6,C1,B9,Relative-stage GRU,0.7960526315789473,0.8017491435928178,0.759825327510917,0.6836734693877551,0.9617486338797814,0.788235294117647,0.6036036036036037,0.3333333333333304,0.0630630630630625,2,0,0.0411911644041538,Single-source
S5_C6_to_C1,C6,C1,B10,Relative-stage TCN-GRU,0.881578947368421,0.8846474675468142,0.8135593220338984,0.8571428571428571,0.9832402234636872,0.7659574468085106,0.972972972972973,0.0,0.0270270270270267,0,0,0.0184811819344759,Single-source
S5_C6_to_C1,C6,C1,B11,Multi-task TCN-GRU,0.9375,0.9405658466706184,0.90625,0.921161825726141,0.9942857142857144,0.8538461538461538,1.0,0.0,0.0,0,0,0.0195889765206146,Single-source
S5_C6_to_C1,C6,C1,B12,FGDS-PSI,0.930921052631579,0.9340805104685628,0.911917098445596,0.9135802469135802,0.9767441860465116,0.8409090909090909,1.0,0.0,0.0,0,0,0.0144275993219346,Single-source
S6_C6_to_C4,C6,C4,B8,Relative-stage TCN,0.5789473684210527,0.512122556701454,0.7706422018348624,0.5616438356164384,0.2040816326530612,0.5125,0.6212121212121212,0.3787878787878759,0.0,2,0,0.0285894908010959,Single-source
S6_C6_to_C4,C6,C4,B9,Relative-stage GRU,0.8453947368421053,0.8516139990219075,0.8316831683168316,0.8163265306122449,0.906832298136646,0.8849557522123894,0.7575757575757576,0.2424242424242406,0.0,3,1,0.0385718308389186,Single-source
S6_C6_to_C4,C6,C4,B10,Relative-stage TCN-GRU,0.8157894736842105,0.8240339110761004,0.8155339805825242,0.7704918032786885,0.8860759493670886,0.8392857142857143,0.7121212121212122,0.2878787878787857,0.0,1,0,0.0187562275677919,Single-source
