feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_z__band2_energy_ratio__rank,0.19048226848169558,0.5438241738524008,0.47117087536888075,0.4456338745089973,1.0603794364710817,domain_id,False,71,
force_sensor_z__spectral_variance__rel,0.17229083595227546,0.5926522916145123,0.48136167742668906,0.46925085319830895,1.0602753661901025,domain_id,False,72,
force_sensor_z__spectral_kurtosis__rel,0.20968698965016097,0.8489966884300602,0.28666275531609486,0.42868601765753156,1.0590272558958966,domain_id,False,73,
force_sensor_y__energy__rank,0.23768287540492095,0.8501867631126445,0.2274735913617517,0.42754538718065044,1.0511390683239357,domain_id,False,74,
force_sensor_y__peak__rank,0.2647746907521453,0.39553531831145294,0.38023364689271805,0.07990420023138793,1.0475613826846701,domain_id,False,75,
force_sensor_z__spectral_kurtosis__rank,0.1798753797517394,0.5243254138730502,0.4696136328100358,0.38146668849131804,1.0328877293784042,domain_id,False,76,
force_sensor_x__skewness__rank,0.20179197615692912,0.733648647893248,0.34729650473753265,0.8427819930846767,1.0321166233491352,domain_id,False,77,
force_sensor_x__dominant_freq__rel,0.2461926718795795,1.1576636682739783,0.047733372211729935,0.5146198855690739,1.0319309045657927,domain_id,False,78,
force_sensor_y__spectral_rms__rel,0.21268634649123697,0.9159805468398741,0.22123666766671365,0.5126790097229793,1.0279090235031656,domain_id,False,79,
force_sensor_y__zero_crossing_rate__rel,0.19730049688135431,0.9329529099377427,0.24035416632821288,0.555875926501573,1.0255702578581312,domain_id,False,80,
torque_axis_y__spectral_rolloff95__rank,0.2648952270954765,1.0630498938051751,0.07859410250100637,1.2610676751715737,1.0194343495127063,domain_id,False,81,
force_sensor_x__rms__rel,0.14759103513940475,0.9101495886475544,0.34787042426094994,0.9080519265393281,1.01724232636398,domain_id,False,82,
force_sensor_x__skewness__rel,0.1676702893152937,0.7959600173542576,0.35325144199764913,0.7202735195329999,1.011617257834644,domain_id,False,83,
torque_axis_y__variance__rel,0.2652369004655546,0.4457729443674001,0.3973541518436473,2.375689039855866,0.9931736937765806,domain_id,False,84,
force_sensor_y__skewness__rank,0.17706476023499174,0.72612041244443,0.35449288602021983,0.833000080212693,0.9913215444061968,domain_id,False,85,
torque_axis_x__dominant_freq__rank,0.2396354462494521,1.2868959224148981,0.03712388528002382,2.602918526301046,0.9840693827687578,domain_id,False,86,
