Split_type,Task,Seed,Strategy,theta_E,theta_L,theta_v,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall,label_selection_score,train_present,val_present,vb_E,vb_L,vb_E_quantile,vb_L_quantile
bestcase_candidate,CAND017,2026,A_q_global,0.3,0.8,0.8,centroid,0.42857142857142855,0.38772607193659825,0.4923076923076923,0.5714285714285715,0.4864864864864865,0.10526315789473684,0.4,1.0,0.07692307692307693,0.32142857142857145,0.0,0.0,0.35,0.9230769230769231,5,5,0.5641025641025641,3,0.4,1.0,0.07692307692307693,0.4462602973129289,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.3,0.8,0.85,centroid,0.47619047619047616,0.4748525208295323,0.496969696969697,0.5714285714285715,0.4827586206896552,0.3703703703703703,0.4,0.6363636363636364,0.45454545454545453,0.3888888888888889,0.0,0.36363636363636365,0.25,0.5454545454545454,4,0,0.717948717948718,3,0.4,0.6363636363636364,0.45454545454545453,0.49606160123401505,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.3,0.8,0.9,centroid,0.4523809523809524,0.3693379790940767,0.4666666666666666,0.5714285714285715,0.0,0.5365853658536585,0.4,0.0,1.0,0.0,0.0,1.0,0.2,0.0,1,0,0.41025641025641024,3,0.4,0.0,1.0,0.32905923344947735,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.6,0.75,centroid,0.30952380952380953,0.28194444444444444,0.4545454545454546,0.5333333333333333,0.3125,0.0,0.36363636363636365,1.0,0.0,0.18518518518518517,0.0,0.0,0.3181818181818182,1.0,5,5,0.5128205128205128,3,0.36363636363636365,1.0,0.0,0.34423444976076556,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.6,0.8,centroid,0.3333333333333333,0.298989898989899,0.4545454545454546,0.5333333333333333,0.3636363636363636,0.0,0.36363636363636365,1.0,0.0,0.2222222222222222,0.0,0.0,0.3181818181818182,1.0,5,5,0.5128205128205128,3,0.36363636363636365,1.0,0.0,0.364688995215311,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.6,0.85,centroid,0.47619047619047616,0.3672687465790914,0.41558441558441556,0.4827586206896552,0.0,0.6190476190476191,0.3181818181818182,0.0,0.9285714285714286,0.0,0.0,1.0,0.2727272727272727,0.07142857142857142,1,1,0.358974358974359,3,0.3181818181818182,0.0,0.9285714285714286,0.3046356253252805,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.6,0.9,centroid,0.5,0.3638180909545228,0.4393939393939394,0.4827586206896552,0.0,0.6086956521739131,0.3181818181818182,0.0,1.0,0.0,0.0,1.0,0.13636363636363635,0.0,0,2,0.20512820512820512,3,0.3181818181818182,0.0,1.0,0.3120596642710586,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.65,0.75,centroid,0.30952380952380953,0.28194444444444444,0.4545454545454546,0.5333333333333333,0.3125,0.0,0.36363636363636365,1.0,0.0,0.18518518518518517,0.0,0.0,0.3181818181818182,1.0,5,5,0.5128205128205128,3,0.36363636363636365,1.0,0.0,0.34423444976076556,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.65,0.8,centroid,0.3333333333333333,0.298989898989899,0.4545454545454546,0.5333333333333333,0.3636363636363636,0.0,0.36363636363636365,1.0,0.0,0.2222222222222222,0.0,0.0,0.3181818181818182,1.0,5,5,0.5128205128205128,3,0.36363636363636365,1.0,0.0,0.364688995215311,3,3,,,,
bestcase_candidate,CAND017,2026,A_q_global,0.35,0.65,0.85,centroid,0.30952380952380953,0.3064221857325306,0.3441558441558441,0.4827586206896552,0.22222222222222224,0.21428571428571427,0.3181818181818182,0.5,0.21428571428571427,0.14285714285714285,0.0,0.5,0.3181818181818182,0.7857142857142857,3,1,0.46153846153846156,3,0.3181818181818182,0.5,0.21428571428571427,0.3247986454883007,3,3,,,,
