eta,fine_weight,temperature,mid_floor,late_tau,early_tau,order_blend,val_Acc,val_Macro_F1,val_E_F1,val_M_F1,val_L_F1,val_M_Pre,val_M_Rec,val_M_to_E,val_M_to_L,val_n_middle_true,val_Rev,val_Jump,val_Smooth,val_q_MAE,val_q_RMSE,val_q_R2,val_Spearman,val_Pearson,val_q_Smooth,val_score
0.55,0.2,1.2,0.12,0.72,0.38,0.25,0.7680906713164778,0.7562893202581588,0.9384835479256081,0.75260663507109,0.5777777777777777,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019586164325972506,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.657877182885142
0.55,0.2,1.2,0.08,0.72,0.42,0.5,0.7672188317349607,0.7557384411691586,0.932761087267525,0.7518939393939394,0.5825602968460112,0.6352,0.9211136890951276,0.07192575406032482,0.0069605568445475635,431,4,0,0.018607767581883296,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6588358644326893
0.55,0.2,1.2,0.04,0.72,0.42,0.5,0.7672188317349607,0.7557384411691586,0.932761087267525,0.7518939393939394,0.5825602968460112,0.6352,0.9211136890951276,0.07192575406032482,0.0069605568445475635,431,4,0,0.018607767581883296,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6588358644326893
0.55,0.2,1.2,0.12,0.72,0.42,0.5,0.7672188317349607,0.7557384411691586,0.932761087267525,0.7518939393939394,0.5825602968460112,0.6352,0.9211136890951276,0.07192575406032482,0.0069605568445475635,431,4,0,0.018607767581883296,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6588358644326893
0.55,0.2,1.2,0.04,0.72,0.34,0.25,0.7672188317349607,0.75554482262935,0.9369627507163324,0.7518939393939394,0.5777777777777777,0.6352,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019330918112605944,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6594935200954677
0.55,0.2,1.2,0.08,0.72,0.34,0.25,0.7672188317349607,0.75554482262935,0.9369627507163324,0.7518939393939394,0.5777777777777777,0.6352,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019330918112605944,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6594935200954677
0.55,0.2,1.2,0.12,0.72,0.34,0.25,0.7672188317349607,0.75554482262935,0.9369627507163324,0.7518939393939394,0.5777777777777777,0.6352,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019330918112605944,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6594935200954677
0.55,0.3,1.0,0.08,0.72,0.42,0.5,0.7680906713164778,0.7572045688543163,0.932761087267525,0.7521367521367521,0.5867158671586716,0.6366559485530546,0.9187935034802784,0.07192575406032482,0.009280742459396751,431,5,0,0.018712466676509457,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6616023055186826
0.55,0.3,1.0,0.12,0.72,0.42,0.5,0.7680906713164778,0.7572045688543163,0.932761087267525,0.7521367521367521,0.5867158671586716,0.6366559485530546,0.9187935034802784,0.07192575406032482,0.009280742459396751,431,5,0,0.018712466676509457,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6616023055186826
0.55,0.3,1.0,0.04,0.72,0.42,0.5,0.7680906713164778,0.7572045688543163,0.932761087267525,0.7521367521367521,0.5867158671586716,0.6366559485530546,0.9187935034802784,0.07192575406032482,0.009280742459396751,431,5,0,0.018712466676509457,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6616023055186826
0.55,0.2,1.0,0.08,0.72,0.38,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02063717255317484,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.55,0.2,1.0,0.08,0.72,0.34,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02040604896428044,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.55,0.2,1.0,0.12,0.72,0.34,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02040604896428044,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.55,0.2,1.0,0.04,0.72,0.34,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02040604896428044,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.55,0.2,1.0,0.04,0.72,0.38,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02063717255317484,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.55,0.2,1.0,0.12,0.72,0.38,0.25,0.7768090671316478,0.7688952521150693,0.9384835479256081,0.7574879227053141,0.6107142857142858,0.6490066225165563,0.9095127610208816,0.06728538283062645,0.02320185614849188,431,3,0,0.02063717255317484,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6620748969764025
0.65,0.3,1.2,0.04,0.72,0.34,0.25,0.7785527462946817,0.7713305768126463,0.9384835479256081,0.7584869059165859,0.6170212765957447,0.6516666666666666,0.9071925754060325,0.06728538283062645,0.025522041763341066,431,4,0,0.019416618824142574,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6630003014684597
