Split_type,Task,Seed,Phase,Score,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
original,N1,2026,random200,0.6365238305949102,0.8,0.3,2.0,0.0,0.45,0.6,0.03,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.10595211756362222,3,0.5,1.0,0.875
original,N1,2026,random200,0.570055248339099,0.8,0.1,1.5,0.0,0.28,0.65,0.0,0.45,B12,0.8333333333333334,0.7613927291346646,0.7361111111111112,0.6666666666666666,0.7142857142857143,0.9032258064516129,0.5,0.8333333333333334,0.875,0.625,0.0,0.16666666666666666,0.5,0.125,0,0,0.13257392469111423,3,0.5,0.8333333333333334,0.875
original,N1,2026,random200,0.6347623340674533,0.75,0.0,1.5,0.0,0.36,0.65,0.05,0.45,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.1279708241568341,3,0.5,1.0,0.875
original,N1,2026,random200,0.5698089704642137,0.8,0.3,1.5,0.01,0.45,0.6,0.0,0.22,B12,0.8333333333333334,0.7613927291346646,0.7361111111111112,0.6666666666666666,0.7142857142857143,0.9032258064516129,0.5,0.8333333333333334,0.875,0.625,0.0,0.16666666666666666,0.5,0.125,0,0,0.13565239812717927,3,0.5,0.8333333333333334,0.875
original,N1,2026,random200,0.6959081028312423,0.9,0.2,1.0,0.02,0.36,0.7,0.0,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.20041980642088486,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7256518654233266,0.9,0.0,0.8,0.01,0.28,0.6,0.0,0.28,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.23230307109730558,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,0.7031617237412822,0.85,0.3,2.0,0.02,0.36,0.65,0.05,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.10974954504538567,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7638858797480136,0.8,0.0,1.0,0.01,0.4,0.75,0.1,0.35,B12,0.9166666666666666,0.9301587301587301,0.9583333333333334,1.0,0.8571428571428571,0.9333333333333333,1.0,1.0,0.875,0.75,0.0,0.0,0.0,0.125,0,0,0.18272610632443273,3,1.0,1.0,0.875
original,N1,2026,random200,0.7007265104604822,0.85,0.05,1.5,0.0,0.28,0.6,0.1,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.140189711055385,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7282804242306324,0.9,0.05,1.0,0.0,0.36,0.55,0.03,0.45,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.19944608600598385,3,1.0,0.8333333333333334,0.9375
