Task,Split_type,Method,Seed,Validation_cases,Best_validation_score,Validation_Acc,Validation_MacroF1,Validation_BalancedAcc,Validation_MF1,Validation_MRec,Validation_ERec,Validation_LRec,Validation_Smooth,Validation_q_Spearman,Validation_q_Pearson,Test_Acc,Test_MacroF1,Test_BalancedAcc,Test_MF1,Test_MRec,Test_ERec,Test_LRec,Test_Smooth,Predicted_class_count,Best_L,Best_top_k,Best_model_config,Best_fusion_params
N3,original,B11,2026,"4,10,11",0.5319851719167813,0.5882352941176471,0.5841847041847043,0.6515151515151515,0.6363636363636364,1.0,0.5,0.45454545454545453,0.14600856433953008,0.7023682200152789,0.6380988715994769,0.6,0.5777777777777778,0.5841269841269842,0.5,0.5,0.7857142857142857,0.4666666666666667,0.16032101910921834,3,3,45,b11_sample_01,{}
N3,original,B12,2026,"4,10,11",-0.29746357935762796,0.5,0.47125188536953244,0.5606060606060607,0.5384615384615384,1.0,0.5,0.18181818181818182,0.13670503266005185,0.7023682200152789,0.6380988715994769,0.6,0.5822222222222222,0.6174603174603175,0.5333333333333333,0.6666666666666666,0.7857142857142857,0.4,0.1513385161325059,3,3,45,b11_sample_01,"{""eta"": 0.93, ""fine_weight"": 0.05, ""temperature"": 1.0, ""mid_floor"": 0.0, ""early_tau"": 0.38, ""late_tau"": 0.55, ""order_blend"": 0.01, ""prior_sigma"": 0.45}"
N4,original,B9,2026,"10,11,14",0.5777673394429288,0.6666666666666666,0.6815310293571163,0.6704545454545454,0.6666666666666665,0.75,0.625,0.6363636363636364,0.07179013888041179,,,0.3181818181818182,0.32219251336898397,0.3606060606060606,0.3636363636363636,0.4,0.5,0.18181818181818182,0.06717341558800803,3,6,45,mid_L6_k45,{}
N4,original,B10,2026,"10,11,14",0.5982000952682052,0.696969696969697,0.6897435897435896,0.7232905982905984,0.7000000000000001,0.875,0.46153846153846156,0.8333333333333334,0.18806774094700812,,,0.4666666666666667,0.4427053140096618,0.4777777777777778,0.3333333333333333,0.4,0.7,0.3333333333333333,0.17667992699604768,3,4,60,wide_L4_k60,{}
N4,original,B11,2026,"10,11,14",0.5926494898399577,0.7272727272727273,0.7377281947261665,0.7489316239316239,0.823529411764706,0.875,0.5384615384615384,0.8333333333333334,0.5051067712852576,0.7356283422459894,0.7272889331308419,0.5333333333333333,0.393993993993994,0.4000000000000001,0.0,0.0,0.4,0.8,0.47471856128630374,3,4,30,b11_small_L4_k30_qweak,{}
N4,original,B12,2026,"10,11,14",0.5896762979572696,0.7272727272727273,0.7377281947261665,0.7489316239316239,0.823529411764706,0.875,0.5384615384615384,0.8333333333333334,0.34760624624293573,0.7356283422459894,0.7272889331308419,0.5333333333333333,0.393993993993994,0.4000000000000001,0.0,0.0,0.4,0.8,0.32172494168145566,3,4,30,b11_small_L4_k30_qweak,"{""eta"": 0.92, ""fine_weight"": 0.0, ""temperature"": 2.0, ""mid_floor"": 0.02, ""early_tau"": 0.34, ""late_tau"": 0.6, ""order_blend"": 0.02, ""prior_sigma"": 0.45}"
N1b,stagebalanced,B9,2026,"3,10,12",0.4601058045967172,0.5185185185185185,0.6533333333333333,0.6538461538461539,0.48000000000000004,0.5,1.0,0.46153846153846156,0.08373908046633005,,,0.37037037037037035,0.34428024083196496,0.3464646464646464,0.33333333333333326,0.2727272727272727,0.16666666666666666,0.6,0.12279744974027078,3,5,30,small_L5_k30,{}
N1b,stagebalanced,B10,2026,"3,10,12",0.4639680879627481,0.6060606060606061,0.6432451499118166,0.6217948717948718,0.48000000000000004,0.5,0.75,0.6153846153846154,0.03445143004258474,,,0.3939393939393939,0.3280423280423281,0.42424242424242425,0.0,0.0,0.2727272727272727,1.0,0.049220384657382966,3,3,20,tiny_L3_k20,{}
N1b,stagebalanced,B11,2026,"3,10,12",0.561132533825984,0.6666666666666666,0.7022222222222222,0.7606837606837606,0.64,0.6666666666666666,1.0,0.6153846153846154,0.09639138945688804,0.5097680097680098,0.5202548665402824,0.5185185185185185,0.5038793734445908,0.49292929292929283,0.5217391304347826,0.5454545454545454,0.3333333333333333,0.6,0.10064623939494292,3,5,60,b11_sample_09,{}
N1b,stagebalanced,B12,2026,"3,10,12",0.2476627300323438,0.6666666666666666,0.696551724137931,0.764957264957265,0.6896551724137931,0.8333333333333334,1.0,0.46153846153846156,0.10845867840747285,0.5097680097680098,0.5202548665402824,0.5925925925925926,0.5661375661375662,0.5505050505050505,0.6428571428571428,0.8181818181818182,0.3333333333333333,0.5,0.11324097227117362,3,5,60,b11_sample_09,"{""eta"": 0.93, ""fine_weight"": 0.05, ""temperature"": 0.8, ""mid_floor"": 0.01, ""early_tau"": 0.38, ""late_tau"": 0.55, ""order_blend"": 0.05, ""prior_sigma"": 0.28}"
