Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
original,N3,2026,b11_wide_L4_k60,0.36819194629516794,17,0.5396825396825397,0.5334665334665335,0.2857142857142857,0.2857142857142857,0.14015313291123935,0.5487903225806452,0.5115380198534718,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
original,N3,2026,b11_sample_01,0.5319851719167813,6,0.5841847041847043,0.6515151515151515,0.6363636363636364,1.0,0.14600856433953008,0.7023682200152789,0.6380988715994769,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
original,N3,2026,b11_sample_02,0.24352122664237702,33,0.412024756852343,0.48148148148148145,0.0,0.0,0.28473566559312696,0.7269230769230769,0.6821883300844219,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
original,N3,2026,b11_sample_03,0.4078417366647467,11,0.5054302422723476,0.5200216450216449,0.4210526315789474,0.5714285714285714,0.23231825136369275,0.6974789915966386,0.6860361815928855,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
original,N3,2026,b11_sample_04,0.4749248681765691,21,0.5846949891067538,0.6206709956709957,0.5555555555555556,0.7142857142857143,0.2623444908568936,0.7038961038961039,0.6534780101559601,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
original,N3,2026,b11_sample_05,0.3633302654565321,20,0.4861111111111111,0.48008658008658006,0.3333333333333333,0.2857142857142857,0.10810340106487275,0.6135741652983032,0.6148964148887118,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
original,N3,2026,b11_sample_06,0.38964474761626533,8,0.4269360269360269,0.5185185185185185,0.6363636363636364,1.0,0.03621245649727908,-0.16615384615384618,-0.18149071827419705,b11_sample_06,6,20,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.2,0.02
original,N3,2026,b11_sample_07,0.4208168624131564,10,0.5735483870967742,0.5822510822510822,0.5,0.42857142857142855,0.2959340726656298,0.4771581359816654,0.4759380767300906,b11_sample_07,3,30,8,0.001,0.3,0.0001,"(32, 64)",16,0.5,0.2,0.02
original,N3,2026,b11_sample_08,0.40159296416055573,9,0.4545454545454546,0.4497354497354497,0.5714285714285714,0.5714285714285714,0.12360452792861244,0.5084615384615384,0.4296129946425744,b11_sample_08,6,30,16,0.001,0.1,0.0001,"(32, 64)",32,0.5,0.1,0.05
original,N3,2026,b11_sample_09,0.39419296410496535,22,0.503968253968254,0.49134199134199136,0.42857142857142855,0.42857142857142855,0.13373463720083237,0.5473453749315819,0.5801695307282442,b11_sample_09,5,60,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.1,0.0
original,N3,2026,b11_sample_10,0.5193031036725291,25,0.630504459308807,0.6187770562770564,0.7692307692307692,0.7142857142857143,0.25779427287559353,0.5141329258976317,0.4584244886331664,b11_sample_10,3,30,16,0.0005,0.2,0.0001,"(16, 32)",32,0.5,0.1,0.02
original,N3,2026,b11_sample_11,0.17541058047558666,40,0.30787878787878786,0.3333333333333333,0.0,0.0,0.253796293146231,0.5715384615384614,0.5820550841959171,b11_sample_11,6,60,8,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
original,N3,2026,b11_sample_12,0.4076813878545374,9,0.5676691729323308,0.5722943722943722,0.5,0.5714285714285714,0.09957654893398285,0.054187192118226604,0.137797655846178,b11_sample_12,5,60,8,0.0005,0.3,0.0001,"(32, 32)",16,0.5,0.1,0.02
original,N3,2026,b11_sample_13,0.37362732074638233,15,0.4187822497420021,0.47359307359307357,0.6,0.8571428571428571,0.12218164563179017,0.1357416529830323,0.06681201450318944,b11_sample_13,5,20,8,0.0005,0.1,0.0001,"(32, 32)",16,0.1,0.05,0.02
