Split_type,Task,Seed,Strategy,theta_E,theta_L,theta_v,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall,label_selection_score,train_present,val_present,vb_E,vb_L,vb_E_quantile,vb_L_quantile
original,N1,2026,A_q_global,0.3,0.8,0.9,centroid,0.5128205128205128,0.46576879910213237,0.533974358974359,0.7407407407407406,0.1111111111111111,0.5454545454545454,0.625,0.07692307692307693,0.9,0.2,0.07692307692307693,0.8461538461538461,0.1875,0.1,4,2,0.6111111111111112,3,0.625,0.07692307692307693,0.9,0.41341583716583713,3,3,,,,
original,N1,2026,A_q_global,0.35,0.6,0.75,centroid,0.5641025641025641,0.5481672148338815,0.6808278867102396,0.7027027027027027,0.5714285714285715,0.3703703703703704,0.7647058823529411,1.0,0.2777777777777778,0.4,0.0,0.0,0.0,0.3333333333333333,5,4,0.6666666666666666,3,0.7647058823529411,1.0,0.2777777777777778,0.5587297432706329,3,3,,,,
original,N1,2026,A_q_global,0.35,0.6,0.8,centroid,0.5128205128205128,0.4701316701316702,0.5789760348583878,0.7027027027027027,0.39999999999999997,0.30769230769230765,0.7647058823529411,0.75,0.2222222222222222,0.2727272727272727,0.0,0.25,0.058823529411764705,0.3888888888888889,5,3,0.7222222222222222,3,0.7647058823529411,0.75,0.2222222222222222,0.46840565678800977,3,3,,,,
original,N1,2026,A_q_global,0.35,0.6,0.85,centroid,0.6410256410256411,0.5925925925925927,0.5843137254901961,0.6666666666666667,0.4444444444444445,0.6666666666666667,0.7058823529411765,0.4,0.6470588235294118,0.5,0.2,0.4,0.11764705882352941,0.0,1,2,0.3333333333333333,3,0.7058823529411765,0.4,0.6470588235294118,0.5404248366013072,3,3,,,,
original,N1,2026,A_q_global,0.35,0.6,0.9,centroid,0.6410256410256411,0.6,0.6115196078431372,0.7333333333333334,0.4,0.6666666666666667,0.6470588235294118,0.5,0.6875,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.11764705882352941,0.25,4,2,0.6666666666666666,3,0.6470588235294118,0.5,0.6875,0.5417279411764706,3,3,,,,
original,N1,2026,A_q_global,0.35,0.65,0.75,centroid,0.5897435897435898,0.5846615846615847,0.6862745098039215,0.7027027027027027,0.6666666666666666,0.3846153846153846,0.7647058823529411,1.0,0.29411764705882354,0.5,0.0,0.0,0.0,0.29411764705882354,5,4,0.6666666666666666,3,0.7647058823529411,1.0,0.29411764705882354,0.5997787269666753,3,3,,,,
original,N1,2026,A_q_global,0.35,0.65,0.8,centroid,0.5384615384615384,0.5075675675675676,0.6,0.7027027027027027,0.5000000000000001,0.31999999999999995,0.7647058823529411,0.8,0.23529411764705882,0.36363636363636365,0.0,0.2,0.058823529411764705,0.35294117647058826,5,3,0.7222222222222222,3,0.7647058823529411,0.8,0.23529411764705882,0.5134054054054055,3,3,,,,
original,N1,2026,A_q_global,0.35,0.65,0.85,centroid,0.4358974358974359,0.39278499278499274,0.47600373482726427,0.6285714285714287,0.4545454545454545,0.09523809523809522,0.6470588235294118,0.7142857142857143,0.06666666666666667,0.3333333333333333,0.2857142857142857,0.0,0.058823529411764705,0.6,2,2,0.3333333333333333,3,0.6470588235294118,0.7142857142857143,0.06666666666666667,0.4392901706137,3,3,,,,
original,N1,2026,A_q_global,0.35,0.65,0.9,centroid,0.5384615384615384,0.4291187739463602,0.4495798319327731,0.6666666666666667,0.0,0.6206896551724138,0.7058823529411765,0.0,0.6428571428571429,0.0,0.375,0.625,0.23529411764705882,0.07142857142857142,1,1,0.3333333333333333,3,0.7058823529411765,0.0,0.6428571428571429,0.34304042306577803,3,3,,,,
original,N1,2026,A_q_global,0.35,0.7,0.75,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5568686868686868,3,3,,,,
original,N1,2026,A_q_global,0.35,0.7,0.8,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5593686868686869,3,3,,,,
