Setting,Task,Method,Stage,Precision,Recall,F1-score,Support
Single-source,S3_C4_to_C1,B8,weighted avg,0.9231019036954087,0.9144736842105263,0.9138732103968147,304.0
Single-source,S3_C4_to_C1,B9,early,0.9887640449438202,0.8380952380952381,0.9072164948453608,105.0
Single-source,S3_C4_to_C1,B9,middle,0.8454545454545455,0.8378378378378378,0.8416289592760181,111.0
Single-source,S3_C4_to_C1,B9,late,0.8380952380952381,1.0,0.9119170984455959,88.0
Single-source,S3_C4_to_C1,B9,macro avg,0.8907712761645347,0.8919776919776919,0.8869208508556583,304.0
Single-source,S3_C4_to_C1,B9,weighted avg,0.892822566503081,0.8848684210526315,0.8846291154658334,304.0
Single-source,S3_C4_to_C1,B10,early,0.9770114942528736,0.8095238095238095,0.8854166666666666,105.0
Single-source,S3_C4_to_C1,B10,middle,0.84,0.9459459459459459,0.8898305084745762,111.0
Single-source,S3_C4_to_C1,B10,late,0.9565217391304348,1.0,0.9777777777777777,88.0
Single-source,S3_C4_to_C1,B10,macro avg,0.9245110777944362,0.9184899184899185,0.9176749843063402,304.0
Single-source,S3_C4_to_C1,B10,weighted avg,0.9210530261185198,0.9144736842105263,0.9137644108063236,304.0
Single-source,S3_C4_to_C1,B11,early,1.0,0.8095238095238095,0.8947368421052632,105.0
Single-source,S3_C4_to_C1,B11,middle,0.84,0.9459459459459459,0.8898305084745762,111.0
Single-source,S3_C4_to_C1,B11,late,0.9361702127659575,1.0,0.967032967032967,88.0
Single-source,S3_C4_to_C1,B11,macro avg,0.9253900709219858,0.9184899184899185,0.9172001058709355,304.0
Single-source,S3_C4_to_C1,B11,weighted avg,0.9231019036954087,0.9144736842105263,0.9138732103968147,304.0
Single-source,S3_C4_to_C1,B12,early,1.0,0.819047619047619,0.900523560209424,105.0
Single-source,S3_C4_to_C1,B12,middle,0.8492063492063492,0.963963963963964,0.9029535864978903,111.0
Single-source,S3_C4_to_C1,B12,late,0.9565217391304348,1.0,0.9777777777777777,88.0
Single-source,S3_C4_to_C1,B12,macro avg,0.9352426961122614,0.9276705276705277,0.927084974828364,304.0
Single-source,S3_C4_to_C1,B12,weighted avg,0.9323546638334967,0.9243421052631579,0.9237739025253283,304.0
Single-source,S4_C4_to_C6,B8,early,1.0,0.9642857142857143,0.9818181818181818,84.0
Single-source,S4_C4_to_C6,B8,middle,0.9739130434782609,0.8682170542635659,0.9180327868852459,129.0
Single-source,S4_C4_to_C6,B8,late,0.8425925925925926,1.0,0.914572864321608,91.0
Single-source,S4_C4_to_C6,B8,macro avg,0.9388352120236179,0.9441675895164267,0.9381412776750119,304.0
Single-source,S4_C4_to_C6,B8,weighted avg,0.9418115412323079,0.9342105263157895,0.9346219981387838,304.0
Single-source,S4_C4_to_C6,B9,early,1.0,0.9047619047619048,0.95,84.0
Single-source,S4_C4_to_C6,B9,middle,0.9157894736842105,0.6744186046511628,0.7767857142857143,129.0
Single-source,S4_C4_to_C6,B9,late,0.6842105263157895,1.0,0.8125,91.0
Single-source,S4_C4_to_C6,B9,macro avg,0.8666666666666667,0.8597268364710224,0.8464285714285714,304.0
Single-source,S4_C4_to_C6,B9,weighted avg,0.869736842105263,0.8355263157894737,0.8353383458646616,304.0
Single-source,S4_C4_to_C6,B10,early,1.0,0.7976190476190477,0.8874172185430463,84.0
Single-source,S4_C4_to_C6,B10,middle,0.8089887640449438,0.5581395348837209,0.6605504587155964,129.0
Single-source,S4_C4_to_C6,B10,late,0.6148648648648649,1.0,0.7615062761506276,91.0
Single-source,S4_C4_to_C6,B10,macro avg,0.8079512096366029,0.7852528608342562,0.7698246511364234,304.0
Single-source,S4_C4_to_C6,B10,weighted avg,0.8036587278437515,0.756578947368421,0.75345765349222,304.0
Single-source,S4_C4_to_C6,B11,early,1.0,0.8571428571428571,0.9230769230769231,84.0
Single-source,S4_C4_to_C6,B11,middle,0.8554216867469879,0.5503875968992248,0.6698113207547169,129.0
Single-source,S4_C4_to_C6,B11,late,0.610738255033557,1.0,0.7583333333333333,91.0
Single-source,S4_C4_to_C6,B11,macro avg,0.8220533139268483,0.8025101513473606,0.7837405257216578,304.0
Single-source,S4_C4_to_C6,B11,weighted avg,0.822126903942155,0.7697368421052632,0.7662909712143202,304.0
Single-source,S4_C4_to_C6,B12,early,1.0,0.8571428571428571,0.9230769230769231,84.0
Single-source,S4_C4_to_C6,B12,middle,0.8571428571428571,0.5581395348837209,0.676056338028169,129.0
Single-source,S4_C4_to_C6,B12,late,0.6148648648648649,1.0,0.7615062761506276,91.0
Single-source,S4_C4_to_C6,B12,macro avg,0.824002574002574,0.8050941306755259,0.7868798457519066,304.0
Single-source,S4_C4_to_C6,B12,weighted avg,0.8240925370859581,0.7730263157894737,0.7698907903743502,304.0
Single-source,S5_C6_to_C1,B8,early,1.0,0.8476190476190476,0.9175257731958762,105.0
Single-source,S5_C6_to_C1,B8,middle,0.555,1.0,0.7138263665594855,111.0
Single-source,S5_C6_to_C1,B8,late,1.0,0.17045454545454544,0.2912621359223301,88.0
Single-source,S5_C6_to_C1,B8,macro avg,0.8516666666666667,0.6726911976911977,0.6408714252258972,304.0
Single-source,S5_C6_to_C1,B8,weighted avg,0.8375164473684211,0.7072368421052632,0.6618618448514308,304.0
Single-source,S5_C6_to_C1,B9,early,0.7016129032258065,0.8285714285714286,0.759825327510917,105.0
Single-source,S5_C6_to_C1,B9,middle,0.788235294117647,0.6036036036036037,0.6836734693877551,111.0
Single-source,S5_C6_to_C1,B9,late,0.9263157894736842,1.0,0.9617486338797814,88.0
Single-source,S5_C6_to_C1,B9,macro avg,0.8053879956057125,0.8107250107250108,0.8017491435928178,304.0
Single-source,S5_C6_to_C1,B9,weighted avg,0.7982870459192523,0.7960526315789473,0.7904713627371969,304.0
Single-source,S5_C6_to_C1,B10,early,1.0,0.6857142857142857,0.8135593220338984,105.0
