Setting,Task,Method,True_stage,Pred_stage,Count,Row_norm
Single-source,S2_C1_to_C6,B8,middle,late,0,0.0
Single-source,S2_C1_to_C6,B8,late,early,0,0.0
Single-source,S2_C1_to_C6,B8,late,middle,25,0.2747252747252717
Single-source,S2_C1_to_C6,B8,late,late,66,0.7252747252747174
Single-source,S2_C1_to_C6,B9,early,early,75,0.8928571428571322
Single-source,S2_C1_to_C6,B9,early,middle,9,0.10714285714285587
Single-source,S2_C1_to_C6,B9,early,late,0,0.0
Single-source,S2_C1_to_C6,B9,middle,early,0,0.0
Single-source,S2_C1_to_C6,B9,middle,middle,129,0.9999999999999923
Single-source,S2_C1_to_C6,B9,middle,late,0,0.0
Single-source,S2_C1_to_C6,B9,late,early,0,0.0
Single-source,S2_C1_to_C6,B9,late,middle,33,0.3626373626373587
Single-source,S2_C1_to_C6,B9,late,late,58,0.6373626373626304
Single-source,S2_C1_to_C6,B10,early,early,74,0.8809523809523705
Single-source,S2_C1_to_C6,B10,early,middle,10,0.11904761904761764
Single-source,S2_C1_to_C6,B10,early,late,0,0.0
Single-source,S2_C1_to_C6,B10,middle,early,0,0.0
Single-source,S2_C1_to_C6,B10,middle,middle,129,0.9999999999999923
Single-source,S2_C1_to_C6,B10,middle,late,0,0.0
Single-source,S2_C1_to_C6,B10,late,early,0,0.0
Single-source,S2_C1_to_C6,B10,late,middle,16,0.1758241758241739
Single-source,S2_C1_to_C6,B10,late,late,75,0.8241758241758151
Single-source,S2_C1_to_C6,B11,early,early,61,0.7261904761904676
Single-source,S2_C1_to_C6,B11,early,middle,23,0.27380952380952056
Single-source,S2_C1_to_C6,B11,early,late,0,0.0
Single-source,S2_C1_to_C6,B11,middle,early,0,0.0
Single-source,S2_C1_to_C6,B11,middle,middle,121,0.9379844961240238
Single-source,S2_C1_to_C6,B11,middle,late,8,0.06201550387596851
Single-source,S2_C1_to_C6,B11,late,early,0,0.0
Single-source,S2_C1_to_C6,B11,late,middle,0,0.0
Single-source,S2_C1_to_C6,B11,late,late,91,0.9999999999999891
Single-source,S2_C1_to_C6,B12,early,early,58,0.6904761904761822
Single-source,S2_C1_to_C6,B12,early,middle,26,0.30952380952380587
Single-source,S2_C1_to_C6,B12,early,late,0,0.0
Single-source,S2_C1_to_C6,B12,middle,early,0,0.0
Single-source,S2_C1_to_C6,B12,middle,middle,129,0.9999999999999923
Single-source,S2_C1_to_C6,B12,middle,late,0,0.0
Single-source,S2_C1_to_C6,B12,late,early,0,0.0
Single-source,S2_C1_to_C6,B12,late,middle,11,0.12087912087911956
Single-source,S2_C1_to_C6,B12,late,late,80,0.8791208791208696
Single-source,S3_C4_to_C1,B8,early,early,85,0.8095238095238019
Single-source,S3_C4_to_C1,B8,early,middle,20,0.19047619047618866
Single-source,S3_C4_to_C1,B8,early,late,0,0.0
Single-source,S3_C4_to_C1,B8,middle,early,0,0.0
Single-source,S3_C4_to_C1,B8,middle,middle,105,0.9459459459459375
Single-source,S3_C4_to_C1,B8,middle,late,6,0.05405405405405357
Single-source,S3_C4_to_C1,B8,late,early,0,0.0
Single-source,S3_C4_to_C1,B8,late,middle,0,0.0
Single-source,S3_C4_to_C1,B8,late,late,88,0.9999999999999887
Single-source,S3_C4_to_C1,B9,early,early,88,0.8380952380952301
Single-source,S3_C4_to_C1,B9,early,middle,17,0.16190476190476036
Single-source,S3_C4_to_C1,B9,early,late,0,0.0
Single-source,S3_C4_to_C1,B9,middle,early,1,0.00900900900900893
Single-source,S3_C4_to_C1,B9,middle,middle,93,0.8378378378378303
Single-source,S3_C4_to_C1,B9,middle,late,17,0.15315315315315178
Single-source,S3_C4_to_C1,B9,late,early,0,0.0
Single-source,S3_C4_to_C1,B9,late,middle,0,0.0
Single-source,S3_C4_to_C1,B9,late,late,88,0.9999999999999887
Single-source,S3_C4_to_C1,B10,early,early,85,0.8095238095238019
Single-source,S3_C4_to_C1,B10,early,middle,20,0.19047619047618866
Single-source,S3_C4_to_C1,B10,early,late,0,0.0
Single-source,S3_C4_to_C1,B10,middle,early,2,0.01801801801801786
Single-source,S3_C4_to_C1,B10,middle,middle,105,0.9459459459459375
Single-source,S3_C4_to_C1,B10,middle,late,4,0.03603603603603572
Single-source,S3_C4_to_C1,B10,late,early,0,0.0
Single-source,S3_C4_to_C1,B10,late,middle,0,0.0
Single-source,S3_C4_to_C1,B10,late,late,88,0.9999999999999887
Single-source,S3_C4_to_C1,B11,early,early,85,0.8095238095238019
Single-source,S3_C4_to_C1,B11,early,middle,20,0.19047619047618866
Single-source,S3_C4_to_C1,B11,early,late,0,0.0
Single-source,S3_C4_to_C1,B11,middle,early,0,0.0
Single-source,S3_C4_to_C1,B11,middle,middle,105,0.9459459459459375
Single-source,S3_C4_to_C1,B11,middle,late,6,0.05405405405405357
Single-source,S3_C4_to_C1,B11,late,early,0,0.0
Single-source,S3_C4_to_C1,B11,late,middle,0,0.0
Single-source,S3_C4_to_C1,B11,late,late,88,0.9999999999999887
Single-source,S3_C4_to_C1,B12,early,early,86,0.8190476190476113
Single-source,S3_C4_to_C1,B12,early,middle,19,0.18095238095237923
Single-source,S3_C4_to_C1,B12,early,late,0,0.0
Single-source,S3_C4_to_C1,B12,middle,early,0,0.0
Single-source,S3_C4_to_C1,B12,middle,middle,107,0.9639639639639553
Single-source,S3_C4_to_C1,B12,middle,late,4,0.03603603603603572
Single-source,S3_C4_to_C1,B12,late,early,0,0.0
Single-source,S3_C4_to_C1,B12,late,middle,0,0.0
Single-source,S3_C4_to_C1,B12,late,late,88,0.9999999999999887
Single-source,S4_C4_to_C6,B8,early,early,81,0.9642857142857029
Single-source,S4_C4_to_C6,B8,early,middle,3,0.03571428571428529
Single-source,S4_C4_to_C6,B8,early,late,0,0.0
Single-source,S4_C4_to_C6,B8,middle,early,0,0.0
Single-source,S4_C4_to_C6,B8,middle,middle,112,0.8682170542635592
Single-source,S4_C4_to_C6,B8,middle,late,17,0.1317829457364331
Single-source,S4_C4_to_C6,B8,late,early,0,0.0
Single-source,S4_C4_to_C6,B8,late,middle,0,0.0
Single-source,S4_C4_to_C6,B8,late,late,91,0.9999999999999891
Single-source,S4_C4_to_C6,B9,early,early,76,0.904761904761894
Single-source,S4_C4_to_C6,B9,early,middle,8,0.09523809523809411
Single-source,S4_C4_to_C6,B9,early,late,0,0.0
Single-source,S4_C4_to_C6,B9,middle,early,0,0.0
Single-source,S4_C4_to_C6,B9,middle,middle,87,0.6744186046511575
Single-source,S4_C4_to_C6,B9,middle,late,42,0.3255813953488347
Single-source,S4_C4_to_C6,B9,late,early,0,0.0
Single-source,S4_C4_to_C6,B9,late,middle,0,0.0
Single-source,S4_C4_to_C6,B9,late,late,91,0.9999999999999891
Single-source,S4_C4_to_C6,B10,early,early,67,0.7976190476190381
Single-source,S4_C4_to_C6,B10,early,middle,17,0.20238095238095
Single-source,S4_C4_to_C6,B10,early,late,0,0.0
Single-source,S4_C4_to_C6,B10,middle,early,0,0.0
Single-source,S4_C4_to_C6,B10,middle,middle,72,0.5581395348837166
Single-source,S4_C4_to_C6,B10,middle,late,57,0.44186046511627564
