Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,10,0.8903508771929824,0.8943490715182135,0.9002651515151515,0.8562527666417191,0.9265292963977699,0.9214471146714137,0.8035413849367338,0.10147991543340303,0.09497869962986161,0.3333333333333333,0.0,0.018822851448457,0.12406779730894767,0.14574114011420636,0.5813827725578213,0.9419814689260722
PHM2010,B9_DC_PHSR,11,0.8782894736842106,0.8832541407292802,0.8818567630604622,0.8364132199426316,0.9314924391847469,0.9178533372081757,0.7751017402180193,0.13424947145877272,0.09064878832320612,0.3333333333333333,0.0,0.017601714576478366,0.09756052135336761,0.12401393506098972,0.7172123150725037,0.9201676818167388
PHM2010,B9_DC_PHSR,12,0.7390350877192983,0.6835613933395847,0.6015931372549019,0.7456223674641912,0.7034686752996612,0.7621872743823963,0.8346951602765557,0.0620155038759685,0.10328933584747453,1.0,0.3333333333333333,0.01724085371447583,0.14334743631341426,0.17201937590584337,0.3867722867996685,0.10341238442349493
PHM2010,B9_DC_PHSR,13,0.8717105263157895,0.8770658303891444,0.8562790354693606,0.8292099433267547,0.9457085123713179,0.9032609933925723,0.7728780577617788,0.17306788818416588,0.054054054054053564,0.3333333333333333,0.0,0.015124582846688333,0.10183821508821041,0.12737961701301276,0.6925718476449546,0.9294633716181968
PHM2010,B9_DC_PHSR,14,0.7072368421052632,0.633578866597276,0.5915404650043175,0.7139414475467607,0.5952546872407499,0.7547862733293197,0.7900691389063482,0.09043927648578741,0.11949158460786263,0.3333333333333333,0.0,0.016433024863357234,0.13803971087009648,0.16516032635851854,0.4449713808019949,0.6380264614299085
PHM2010,B9_DC_PHSR,15,0.875,0.8802175867260876,0.8822544513117504,0.8328353662108802,0.9255629426556317,0.9218428184281843,0.774609704842263,0.12943387361991912,0.0959564215378161,0.6666666666666666,0.0,0.020539874982848833,0.12146691338336207,0.15515299263747395,0.5374521115735006,0.9105907182527155
PHM2010,B9_DC_PHSR,16,0.856359649122807,0.8620843227472118,0.8709168717371537,0.8016832303697735,0.9136528661347082,0.9240682688958551,0.7175923280574444,0.14957716701902632,0.13283050492352708,0.3333333333333333,0.0,0.02360726698262833,0.12387040046642739,0.14958340316286753,0.5815568315713404,0.9287609320168533
PHM2010,B9_DC_PHSR,17,0.8486842105263158,0.8526690438047385,0.861873659968,0.7839105177486075,0.9122229536976082,0.9424242424242424,0.6866512389768203,0.1628494244773302,0.1504993365458469,0.6666666666666666,0.0,0.02268768507978537,0.12095759446364614,0.1426666529673227,0.6249669780948138,0.9149196179135652
PHM2010,B9_DC_PHSR,18,0.8464912280701755,0.8512424692796453,0.841439432637221,0.7877489688164578,0.9245390063852569,0.9103395748797173,0.7043200705991404,0.19902513507164518,0.0966547943292121,0.3333333333333333,0.0,0.0176567214058754,0.1037608504346989,0.1253871707188469,0.7109921316941413,0.9034444357700566
PHM2010,B9_DC_PHSR,19,0.8552631578947368,0.86202666853649,0.8800385812422804,0.7961417933674299,0.9098996309997599,0.9250416278610335,0.7275425531239484,0.1368334507869381,0.13562399608911127,0.6666666666666666,0.0,0.0236876210979442,0.13788139852990292,0.1588579305283544,0.5238467331129194,0.7127421554882816
