feature,mi_stage,mi_q,spearman_abs_q,domain_instability,feature_score,selected_rank,max_abs_corr_with_selected
ch2_wp_energy_8__rel,0.420350842806235,0.9877477361139735,0.7669163158472418,0.07907219248070776,1.2022263410744847,36,0.9139286459126644
ch5_q75__rel,0.47212910773494876,1.1759895495277863,0.635121486485478,0.2268452577658534,1.2008593381921329,37,0.9015205802059779
ch4_spec_entropy__online_rank,0.443794780786958,0.9023642908998766,0.7304099723918082,0.015915028184524043,1.2001569856315217,38,0.7782464360369132
ch1_ptp__rel,0.41932380759999677,1.1035258796414449,0.6514547895066888,0.027732085228570427,1.1960841506331814,39,0.9077390947755687
ch2_spec_entropy__rel,0.39400431400436453,1.297580652657225,0.579506500629672,0.03507518136668036,1.1940102357028113,40,0.7234143106539035
ch5_wp_energy_ratio_8__rel,0.4544841290197563,1.5853224907604648,0.25591743160579494,0.005377391620129211,1.1936679140040365,41,0.4608928517030077
ch5_wp_energy_8__online_rank,0.46011330662396777,0.8858183565377709,0.6863327655234475,0.06629525958354222,1.1704407422582408,42,0.9111539001248229
ch1_band_power_q3__rel,0.4584225343429873,0.9987322121764741,0.6319094858643675,0.09285772399419387,1.1688710758664864,43,0.8698764836143366
ch1_spec_entropy__rel,0.46152231457455106,1.6532949491878144,0.2934611051139698,0.25198085456010083,1.1595380869643894,44,0.6117825867907064
ch2_rms_freq__rel,0.4440803671861857,0.9740846329785904,0.6211917694978087,0.033274839235503575,1.1594273049386796,45,0.825249176908927
