selected_rank,feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score,max_abs_corr_with_selected
24,ch3_wp_energy_ratio_8__online_rank,0.5811838201864976,1.2427570716388225,0.5213835127611356,0.06497641952212532,1.3688024805917751,0.7604979123104568
25,ch1_skew__rel,0.5837848659510176,1.5231506126498613,0.06730122047703649,0.07754212088582614,1.3495300692214545,0.5394190910262568
26,ch1_wp_energy_1__slope,0.6371391715761878,1.0444086092940514,0.5012060342092377,0.0029184702855859787,1.3340359706250502,0.8350979151208572
27,ch4_wp_energy_7__rel,0.4887735918799119,1.2680411963039906,0.6359644619134055,0.0904519870116701,1.3227687549486815,0.7122609520908272
28,ch4_wp_energy_8__rel,0.3644055750303934,1.6478075090048834,0.6094737419969117,0.3193643870506927,1.321784042469081,0.7120364620557946
29,ch1_wp_energy_8__rel,0.5004920391806356,1.1286753543237613,0.7814064127318582,0.08832217138064019,1.3162414179535065,0.8960307443555285
30,ch3_band_power_q4__rel,0.5643157137770631,1.000347769374906,0.7210309034483343,0.019857163438068228,1.3118861238119162,0.8663124816928144
31,ch2_wp_energy_ratio_8__rel,0.4688347393617376,1.2005780923889686,0.8197769125639383,0.18224550108028878,1.3104843296835282,0.8449858346319231
32,ch2_band_ratio_q4_q1__rel,0.5455710674225376,1.3495065297223992,0.32000340005195793,0.08925427782048391,1.3100119528468013,0.6857215433104079
33,ch1_rms_freq__online_rank,0.44422720779431435,1.5785830800380887,0.33604774061945936,0.16573100403130897,1.3097027060223423,0.9122400081979358
34,ch2_spec_entropy__rel,0.4717023961607911,1.4840738714438144,0.4758000482941798,0.28837060964759,1.3081766963737638,0.6225366436630776
35,ch2_dom_power__rel,0.4398589804611117,1.3039583079930757,0.656401683000532,0.07804293547635162,1.302067989638748,0.8638099098993545
36,ch1_dom_power__rel,0.47541837054506564,1.3467564735970594,0.47039656003351316,0.08925578352067509,1.291121457475156,0.8705244584002156
37,ch1_std__rel,0.4864368213879098,1.3296682900351908,0.418771207444963,0.04611049285236967,1.28631326579815,0.8933049947861137
38,ch1_shape_factor__online_rank,0.5208535727729775,1.411356340540491,0.23294748733858484,0.1358888659681904,1.27409114711968,0.9178985604602496
39,ch1_median__rel,0.40980852376264854,1.5891614691329887,0.21496720500462357,0.04957305909522383,1.2672345153069553,0.877671489999883
40,ch1_band_power_q4__rel,0.5863739195396789,0.912477224560313,0.6507481942809819,0.04287798816079864,1.2596549027779793,0.9000565677395167
41,ch4_band_power_q1__rel,0.464988919265116,1.172813316151764,0.5919561774971072,0.020891962268794577,1.2533572488977869,0.906342194987639
42,ch2_skew__online_rank,0.5157578965745575,1.054299067648512,0.6619749635378386,0.10119158009336066,1.2493007726137166,0.9168478291040099
43,ch3_band_ratio_q4_q1__online_rank,0.545799474233214,1.1367085734419171,0.4388905664212271,0.09791150281665957,1.243287583497437,0.8551840642043401
44,ch1_wp_energy_2__rel,0.42327660542720613,1.2393055655606227,0.6218437253249388,0.09516630755824552,1.2367831151816846,0.877392260014763
45,ch1_wp_energy_ratio_8__online_rank,0.6138473510088771,1.190388645205673,0.07901820799380997,0.03399843804245377,1.2281984368989336,0.6177316984000968
