feature,selected,reason,feature_score,max_abs_spearman_with_selected
ch2_wp_energy_ratio_3__rel,True,kept,0.4698397585977977,0.9155210970919244
ch3_wp_energy_ratio_2__rel,False,redundant,0.46251865266396325,0.9622613348618819
ch3_spec_centroid__rel,True,kept,0.4579276600846768,0.8970335597441443
ch3_mean__rel,False,redundant,0.45766660450240443,0.9485528199534907
ch6_wp_energy_8__rel,False,redundant,0.4568866626093704,0.9794888439169627
ch1_band_ratio_q4_q1__rel,True,kept,0.4557134920063748,0.9113037132585541
ch2_q25__rel,True,kept,0.4551291497719914,0.8782046948238929
ch5_band_power_q4__rel,True,kept,0.45443340609708216,0.8096049579029273
ch5_band_power_q3__rel,True,kept,0.4519284064283054,0.917772572269585
ch4_dom_power__rel,True,kept,0.4495687647781807,0.884364341326715
ch3_wp_energy_ratio_6__rel,True,kept,0.4446737204938239,0.8369759137949313
ch5_wp_energy_ratio_3__rel,False,redundant,0.4433134648183158,0.9209318796573265
ch3_band_ratio_q4_q1__rel,True,kept,0.4418785217337954,0.8534622962963782
ch5_wp_energy_7__rel,False,redundant,0.4387985456813448,0.9431826651156585
ch4_band_ratio_q4_q1__rel,True,kept,0.4328036692770663,0.7125184351810852
ch2_wp_energy_ratio_7__rel,False,redundant,0.4259200363700848,0.9203867967462228
ch5_wp_energy_ratio_7__rel,True,kept,0.42482321917535104,0.8727919115032604
ch1_total_power__slope,True,kept,0.4246630860793628,0.6950148990177818
ch1_band_power_q1__slope,False,redundant,0.42418876776385306,0.9999995680800713
ch1_var__slope,False,redundant,0.42408725028979194,0.9959017997407569
ch1_wp_energy_1__slope,True,kept,0.4231464313270543,0.8129800625040928
ch6_band_power_q4__rel,False,redundant,0.4219987046139486,0.98999942266707
ch2_rms_freq__rel,False,redundant,0.4195243109526178,0.9339102567394262
ch3_margin_factor__rel,False,redundant,0.4190702355908429,0.9426263042961106
ch3_wp_energy_ratio_8__rel,False,redundant,0.4141409737045078,0.9477383162428231
ch5_wp_energy_6__rel,False,redundant,0.414072269068871,0.9411930980928003
