raw_numeric_sensor_feature
ch6_wp_energy_ratio_2
ch6_wp_energy_ratio_3
ch6_wp_energy_ratio_4
ch6_wp_energy_ratio_5
ch6_wp_energy_ratio_6
ch6_wp_energy_ratio_7
ch6_wp_energy_ratio_8
ch6_wp_entropy
ch6_wp_energy_max_ratio
ch7_mean
ch7_std
ch7_var
ch7_min
ch7_max
ch7_ptp
ch7_median
ch7_q25
ch7_q75
ch7_iqr
ch7_rms
ch7_mean_abs
ch7_skew
ch7_kurtosis
ch7_crest_factor
ch7_shape_factor
ch7_impulse_factor
ch7_margin_factor
ch7_dom_freq_norm
ch7_dom_power
ch7_spec_centroid
ch7_rms_freq
ch7_spec_entropy
ch7_band_power_q1
ch7_band_power_q2
ch7_band_power_q3
ch7_band_power_q4
ch7_band_ratio_q4_q1
ch7_total_power
ch7_wp_energy_1
ch7_wp_energy_2
ch7_wp_energy_3
ch7_wp_energy_4
ch7_wp_energy_5
ch7_wp_energy_6
ch7_wp_energy_7
ch7_wp_energy_8
ch7_wp_energy_ratio_1
ch7_wp_energy_ratio_2
ch7_wp_energy_ratio_3
ch7_wp_energy_ratio_4
ch7_wp_energy_ratio_5
ch7_wp_energy_ratio_6
ch7_wp_energy_ratio_7
ch7_wp_energy_ratio_8
ch7_wp_entropy
ch7_wp_energy_max_ratio
