feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
ch5_wp_energy_ratio_7__rel,0.5864452808877532,1.602377309879544,0.45490483714619606,0.8493221665985242,0.42482321917535104
ch1_total_power__slope,0.5943028089831972,1.4657504344463503,0.6193878175726524,0.9432868793431031,0.4246630860793628
ch1_band_power_q1__slope,0.5932392992718274,1.465401367685757,0.619327913587201,0.9433864472262721,0.42418876776385306
ch1_var__slope,0.5963221052711858,1.4605543672435584,0.6097195399207342,0.9352763797040571,0.42408725028979194
ch1_wp_energy_1__slope,0.6643566393895288,1.1331506319614442,0.5109487639086551,0.6155039309677341,0.4231464313270543
ch6_band_power_q4__rel,0.41509953838628544,1.6133943252372989,0.4071771784554304,0.16313748677939954,0.4219987046139486
ch2_rms_freq__rel,0.5316348789564171,1.6756415065455572,0.8614143717878041,1.400631189230206,0.4195243109526178
ch3_margin_factor__rel,0.5587971186051637,1.2417397137773265,0.8857904929903303,0.9599899139449999,0.4190702355908429
ch3_wp_energy_ratio_8__rel,0.536025428085142,1.9229773345891954,0.4179284314573586,1.1401303368732125,0.4141409737045078
ch5_wp_energy_6__rel,0.5384189432360194,0.9864905121658412,0.8112651377723137,0.47523025050223944,0.414072269068871
ch1_wp_energy_ratio_4__rel,0.5423715560673616,1.513828840065964,0.522489250299749,0.7800240692287674,0.4130138314320152
ch5_band_ratio_q4_q1__rel,0.403340716985892,1.4437184003920613,0.5229931541592315,0.1639449456244618,0.4118609664316978
ch1_dom_power__slope,0.5586808219723232,1.4594781183538252,0.6086126121895679,0.9195274780011238,0.4109019911532354
ch3_impulse_factor__rel,0.5761985843673123,1.3347593935378068,0.8846122853188828,1.2858229563941612,0.4055526696432611
ch6_wp_energy_ratio_1__rel,0.47993425802513845,1.4592002185312767,0.7371317264450006,0.915747683089487,0.4002931236432936
ch6_band_ratio_q4_q1__rel,0.6041088382742419,1.672601068259309,0.26714240150523305,0.984592227808816,0.3993962006090458
ch2_margin_factor__rel,0.4866972840231656,1.0128003229394107,0.6130708650403508,0.17448286154978582,0.39811759481292114
ch5_rms_freq__rel,0.45707138623104937,1.036529697506896,0.6406003693635314,0.16832408038565724,0.3946956694643452
ch1_rms_freq__rel,0.5544649387833442,1.9444406779188115,0.3682655813062363,1.3608276757433142,0.39459864096868613
ch3_wp_energy_max_ratio__rel,0.4498034860806628,1.6207586309485533,0.7295075285710683,1.095445578966324,0.3914332886525327
ch3_wp_energy_ratio_1__rel,0.4498034860806628,1.6207586309485533,0.7295075285710683,1.095445578966324,0.3914332886525327
ch2_spec_centroid__rel,0.5309795378614304,1.724281042533661,0.6103922017873172,1.3906878377353358,0.38918281688997913
ch4_wp_energy_ratio_4__rel,0.5238254302105478,1.5879978579906133,0.8812985342429485,1.5865858042595482,0.38907700250887567
ch2_impulse_factor__rel,0.4668306720086377,1.0292748971504078,0.5790406025299581,0.1746159573605136,0.38759885456525073
ch5_wp_energy_ratio_6__rel,0.5125898924196957,1.130408942583843,0.7815599380558431,0.8127997864254537,0.3853819706535178
ch1_shape_factor__rel,0.5760436458368923,1.504631486544978,0.11972419461396346,0.6513825630641721,0.3771462334799805
