top_rank,arch_name,window_length,dropout,learning_rate,channels,eta,temperature,mid_floor,late_tau,order_blend,proxy_mean_score,proxy_worst_score,C1_to_C4_score,C1_to_C4_acc,C1_to_C4_f1,C1_to_C4_middle_recall,C1_to_C4_ratio_penalty,C1_to_C4_q_RMSE,C1_to_C4_q_R2,C4_to_C1_score,C4_to_C1_acc,C4_to_C1_f1,C4_to_C1_middle_recall,C4_to_C1_ratio_penalty,C4_to_C1_q_RMSE,C4_to_C1_q_R2
802,L12_drop0p1_lr0p001_ch32-64-64,12,0.1,0.001,"(32, 64, 64)",0.45,1.2,0.1,0.64,0.25,1.271230669144407,2.0377539451627236,2.0377539451627236,0.5756578947368421,0.5879595566493668,0.2803030303030303,0.625,0.07315388848488456,0.8852050438636386,0.5047073931260907,0.8388157894736842,0.8438637642190375,1.0,0.3223684210526316,0.08666150458839776,0.8355423991278444
803,L12_drop0p1_lr0p001_ch16-32-32,12,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.03,0.6,0.25,1.2714477018858807,1.4065125173381616,1.4065125173381616,0.6052631578947368,0.4767857142857143,1.0,0.7894736842105263,0.21520548580414336,0.006530245070965113,1.1363828864336,0.6710526315789473,0.6009822469717522,1.0,0.6578947368421053,0.19670211296782647,0.15273444467259234
804,L12_drop0p1_lr0p001_ch16-32-32,12,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.06,0.6,0.25,1.2714477018858807,1.4065125173381616,1.4065125173381616,0.6052631578947368,0.4767857142857143,1.0,0.7894736842105263,0.21520548580414336,0.006530245070965113,1.1363828864336,0.6710526315789473,0.6009822469717522,1.0,0.6578947368421053,0.19670211296782647,0.15273444467259234
805,L15_drop0p1_lr0p001_ch16-32-32,15,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.03,0.64,0.0,1.2716509272152123,1.506527220065736,1.506527220065736,0.574750830564784,0.43637610082792805,1.0,0.8504983388704319,0.2145099060387652,0.004572687673694231,1.0367746343646886,0.707641196013289,0.6789468164516747,1.0,0.584717607973422,0.23176164073502606,-0.19310013480888277
806,L15_drop0p1_lr0p001_ch16-32-32,15,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.06,0.64,0.0,1.2716509272152123,1.506527220065736,1.506527220065736,0.574750830564784,0.43637610082792805,1.0,0.8504983388704319,0.2145099060387652,0.004572687673694231,1.0367746343646886,0.707641196013289,0.6789468164516747,1.0,0.584717607973422,0.23176164073502606,-0.19310013480888277
807,L15_drop0p1_lr0p001_ch16-32-32,15,0.1,0.001,"(16, 32, 32)",0.65,1.0,0.1,0.64,0.0,1.2716509272152123,1.506527220065736,1.506527220065736,0.574750830564784,0.43637610082792805,1.0,0.8504983388704319,0.2145099060387652,0.004572687673694231,1.0367746343646886,0.707641196013289,0.6789468164516747,1.0,0.584717607973422,0.23176164073502606,-0.19310013480888277
808,L10_drop0p2_lr0p001_ch16-32-32,10,0.2,0.001,"(16, 32, 32)",0.45,1.0,0.03,0.56,0.25,1.2719921172527318,1.7881371666173083,1.7881371666173083,0.49673202614379086,0.3339831059129305,1.0,1.0065359477124183,0.22713340813337504,-0.09897317045291087,0.7558470678881554,0.7647058823529411,0.7524988922772174,1.0,0.4705882352941176,0.11769147724163269,0.7007610036126022
809,L10_drop0p2_lr0p001_ch16-32-32,10,0.2,0.001,"(16, 32, 32)",0.45,1.0,0.06,0.56,0.25,1.2719921172527318,1.7881371666173083,1.7881371666173083,0.49673202614379086,0.3339831059129305,1.0,1.0065359477124183,0.22713340813337504,-0.09897317045291087,0.7558470678881554,0.7647058823529411,0.7524988922772174,1.0,0.4705882352941176,0.11769147724163269,0.7007610036126022
810,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.56,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
811,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.03,0.6,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
812,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.56,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
813,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.06,0.6,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
814,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.56,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
815,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.55,1.0,0.1,0.6,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
816,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.56,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
817,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.03,0.6,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
818,L10_drop0p2_lr0p001_ch32-64-64,10,0.2,0.001,"(32, 64, 64)",0.65,1.2,0.06,0.56,0.25,1.2722700281072528,1.5442055759745044,1.5442055759745044,0.696078431372549,0.7110522874506305,0.4318181818181818,0.4901960784313726,0.08031988603729583,0.8625732670495798,1.0003344802400012,0.7679738562091504,0.7710843450581443,0.7117117117117117,0.25490196078431376,0.1168958365969376,0.7047932739808885
