feature,mi_stage,mi_q,spearman_abs_q,domain_instability,feature_score,selected_rank,max_abs_corr_with_selected
ch6_band_ratio_q4_q1__rel,0.6321316905687815,1.9051270890823733,0.5393787174645908,0.0,1.6587976354100153,22,0.7929463373482682
ch6_q75__rel,0.6555347669899161,1.3583383766743866,0.8234320621585467,0.0,1.6493943097121437,23,0.8825829310587242
ch1_rms_freq__online_rank,0.578148284438686,1.6920666024580204,0.7618156064921493,0.0,1.647185007313544,24,0.9039453144348026
ch2_kurtosis__rel,0.5789617179304936,1.8316762184228903,0.6624898643176844,0.0,1.642313991546281,25,0.8717667900829544
ch5_kurtosis__rel,0.7542362546472676,1.3174546588501004,0.6325122957461226,0.0,1.638650773369897,26,0.8770203871209635
ch6_spec_entropy__rel,0.6243604566033953,1.6400104151693276,0.6704284783182701,0.0,1.6295358106480482,27,0.8908569437485563
ch7_min__rel,0.7214223553841284,1.3130795795079842,0.6814850868645637,0.0,1.6279592415258457,28,0.7643847566450391
ch6_var__rel,0.6423093626764516,1.3137792099861825,0.8066675155290031,0.0,1.6100301559802124,29,0.9194713408632891
ch1_band_ratio_q4_q1__rel,0.618374560481147,2.1523136516541608,0.295459101855701,0.0,1.5960243006288537,30,0.761850681914046
ch5_skew__rel,0.6013866147562141,1.256231933736371,0.8711293762381244,0.0,1.5803276099705337,31,0.865177672587524
ch6_wp_energy_ratio_7__rel,0.5898149084723339,1.5367968399037428,0.7137259520985813,0.0,1.579224566940097,32,0.9133591413975722
ch6_wp_energy_ratio_2__rel,0.573413861850123,1.3300096719041625,0.8391799051526226,0.0,1.5578075810355347,33,0.8766312040118104
ch3_wp_energy_ratio_1__rel,0.6337289196227525,1.2505665158772166,0.7618474239840292,0.0,1.5538161753332695,34,0.8011176828982517
ch3_rms_freq__online_rank,0.7212843831412428,0.9161467528147171,0.776874104361918,0.0,1.5413449423395729,35,0.9036340155141804
ch2_kurtosis__online_rank,0.6037353086179564,1.2300707207569408,0.7945491488085786,0.0,1.5316356235893995,36,0.9136995114991066
ch4_wp_energy_1__rel,0.568635470136172,1.3544256541993938,0.77651330829558,0.0,1.5266303156821461,37,0.848574026339223
ch4_wp_energy_ratio_3__rel,0.6110033612571055,1.1962127298263856,0.7886732487885407,0.0,1.5245484396557485,38,0.8546172376622768
ch1_median__rel,0.5723957553614665,1.5782101454261501,0.6059834939144221,0.0,1.5152998034496976,39,0.6947567136898345
ch3_wp_energy_ratio_6__rel,0.6160499094881788,1.4227835986534552,0.6109331267365937,0.0,1.5116423796708327,40,0.8687050663167268
ch3_skew__rel,0.6160529283558638,1.4354236751372782,0.5978641159329083,0.0,1.508881771252597,41,0.790975676055678
ch3_wp_energy_ratio_8__online_rank,0.6119997912088027,1.4045132608169437,0.6122718075448512,0.0,1.5015289057652814,42,0.7987504093919525
ch2_spec_entropy__rel,0.5172040995430811,1.5355667715366539,0.7108659808982569,0.0,1.4973491690292595,43,0.8509308712565028
ch3_mean_abs__rel,0.5200909303046242,1.468642184908354,0.7406174069791558,0.0,1.4934643618915462,44,0.8839904391432722
ch3_band_ratio_q4_q1__rel,0.5489319986719787,1.4065516780466796,0.7159116211459837,0.0,1.4898696774858056,45,0.8387664620143414
