feature,channel,statistic
force_sensor_x__spectral_kurtosis,force_sensor_x,spectral_kurtosis
force_sensor_x__spectral_rolloff95,force_sensor_x,spectral_rolloff95
force_sensor_x__total_power,force_sensor_x,total_power
force_sensor_x__band0_energy_ratio,force_sensor_x,band0_energy_ratio
force_sensor_x__band1_energy_ratio,force_sensor_x,band1_energy_ratio
force_sensor_x__band2_energy_ratio,force_sensor_x,band2_energy_ratio
force_sensor_x__band3_energy_ratio,force_sensor_x,band3_energy_ratio
force_sensor_x__band4_energy_ratio,force_sensor_x,band4_energy_ratio
force_sensor_y__mean,force_sensor_y,mean
force_sensor_y__std,force_sensor_y,std
force_sensor_y__rms,force_sensor_y,rms
force_sensor_y__abs_mean,force_sensor_y,abs_mean
force_sensor_y__peak,force_sensor_y,peak
force_sensor_y__p2p,force_sensor_y,p2p
force_sensor_y__skewness,force_sensor_y,skewness
force_sensor_y__kurtosis,force_sensor_y,kurtosis
force_sensor_y__crest_factor,force_sensor_y,crest_factor
force_sensor_y__shape_factor,force_sensor_y,shape_factor
force_sensor_y__impulse_factor,force_sensor_y,impulse_factor
force_sensor_y__clearance_factor,force_sensor_y,clearance_factor
force_sensor_y__energy,force_sensor_y,energy
force_sensor_y__variance,force_sensor_y,variance
force_sensor_y__zero_crossing_rate,force_sensor_y,zero_crossing_rate
force_sensor_y__dominant_freq,force_sensor_y,dominant_freq
force_sensor_y__dominant_amp,force_sensor_y,dominant_amp
force_sensor_y__spectral_centroid,force_sensor_y,spectral_centroid
force_sensor_y__spectral_spread,force_sensor_y,spectral_spread
force_sensor_y__spectral_variance,force_sensor_y,spectral_variance
force_sensor_y__spectral_entropy,force_sensor_y,spectral_entropy
force_sensor_y__spectral_rms,force_sensor_y,spectral_rms
force_sensor_y__spectral_skewness,force_sensor_y,spectral_skewness
force_sensor_y__spectral_kurtosis,force_sensor_y,spectral_kurtosis
force_sensor_y__spectral_rolloff95,force_sensor_y,spectral_rolloff95
force_sensor_y__total_power,force_sensor_y,total_power
force_sensor_y__band0_energy_ratio,force_sensor_y,band0_energy_ratio
force_sensor_y__band1_energy_ratio,force_sensor_y,band1_energy_ratio
force_sensor_y__band2_energy_ratio,force_sensor_y,band2_energy_ratio
force_sensor_y__band3_energy_ratio,force_sensor_y,band3_energy_ratio
force_sensor_y__band4_energy_ratio,force_sensor_y,band4_energy_ratio
force_sensor_z__mean,force_sensor_z,mean
force_sensor_z__std,force_sensor_z,std
force_sensor_z__rms,force_sensor_z,rms
force_sensor_z__abs_mean,force_sensor_z,abs_mean
force_sensor_z__peak,force_sensor_z,peak
force_sensor_z__p2p,force_sensor_z,p2p
force_sensor_z__skewness,force_sensor_z,skewness
force_sensor_z__kurtosis,force_sensor_z,kurtosis
force_sensor_z__crest_factor,force_sensor_z,crest_factor
force_sensor_z__shape_factor,force_sensor_z,shape_factor
force_sensor_z__impulse_factor,force_sensor_z,impulse_factor
force_sensor_z__clearance_factor,force_sensor_z,clearance_factor
force_sensor_z__energy,force_sensor_z,energy
force_sensor_z__variance,force_sensor_z,variance
force_sensor_z__zero_crossing_rate,force_sensor_z,zero_crossing_rate
force_sensor_z__dominant_freq,force_sensor_z,dominant_freq
force_sensor_z__dominant_amp,force_sensor_z,dominant_amp
force_sensor_z__spectral_centroid,force_sensor_z,spectral_centroid
force_sensor_z__spectral_spread,force_sensor_z,spectral_spread
force_sensor_z__spectral_variance,force_sensor_z,spectral_variance
force_sensor_z__spectral_entropy,force_sensor_z,spectral_entropy
force_sensor_z__spectral_rms,force_sensor_z,spectral_rms
force_sensor_z__spectral_skewness,force_sensor_z,spectral_skewness
force_sensor_z__spectral_kurtosis,force_sensor_z,spectral_kurtosis
force_sensor_z__spectral_rolloff95,force_sensor_z,spectral_rolloff95
force_sensor_z__total_power,force_sensor_z,total_power
force_sensor_z__band0_energy_ratio,force_sensor_z,band0_energy_ratio
force_sensor_z__band1_energy_ratio,force_sensor_z,band1_energy_ratio
force_sensor_z__band2_energy_ratio,force_sensor_z,band2_energy_ratio
force_sensor_z__band3_energy_ratio,force_sensor_z,band3_energy_ratio
force_sensor_z__band4_energy_ratio,force_sensor_z,band4_energy_ratio
_read_error,_read_error,_read_error
force_axis_x__mean,force_axis_x,mean
force_axis_x__std,force_axis_x,std
force_axis_x__rms,force_axis_x,rms
force_axis_x__abs_mean,force_axis_x,abs_mean
force_axis_x__peak,force_axis_x,peak
force_axis_x__p2p,force_axis_x,p2p
force_axis_x__skewness,force_axis_x,skewness
force_axis_x__kurtosis,force_axis_x,kurtosis
force_axis_x__crest_factor,force_axis_x,crest_factor
force_axis_x__shape_factor,force_axis_x,shape_factor
force_axis_x__impulse_factor,force_axis_x,impulse_factor
force_axis_x__clearance_factor,force_axis_x,clearance_factor
force_axis_x__energy,force_axis_x,energy
force_axis_x__variance,force_axis_x,variance
force_axis_x__zero_crossing_rate,force_axis_x,zero_crossing_rate
force_axis_x__dominant_freq,force_axis_x,dominant_freq
force_axis_x__dominant_amp,force_axis_x,dominant_amp
force_axis_x__spectral_centroid,force_axis_x,spectral_centroid
force_axis_x__spectral_spread,force_axis_x,spectral_spread
force_axis_x__spectral_variance,force_axis_x,spectral_variance
force_axis_x__spectral_entropy,force_axis_x,spectral_entropy
force_axis_x__spectral_rms,force_axis_x,spectral_rms
force_axis_x__spectral_skewness,force_axis_x,spectral_skewness
force_axis_x__spectral_kurtosis,force_axis_x,spectral_kurtosis
force_axis_x__spectral_rolloff95,force_axis_x,spectral_rolloff95
force_axis_x__total_power,force_axis_x,total_power
force_axis_x__band0_energy_ratio,force_axis_x,band0_energy_ratio
force_axis_x__band1_energy_ratio,force_axis_x,band1_energy_ratio
force_axis_x__band2_energy_ratio,force_axis_x,band2_energy_ratio
force_axis_x__band3_energy_ratio,force_axis_x,band3_energy_ratio
force_axis_x__band4_energy_ratio,force_axis_x,band4_energy_ratio
force_axis_y__mean,force_axis_y,mean
force_axis_y__std,force_axis_y,std
force_axis_y__rms,force_axis_y,rms
force_axis_y__abs_mean,force_axis_y,abs_mean
force_axis_y__peak,force_axis_y,peak
force_axis_y__p2p,force_axis_y,p2p
force_axis_y__skewness,force_axis_y,skewness
force_axis_y__kurtosis,force_axis_y,kurtosis
force_axis_y__crest_factor,force_axis_y,crest_factor
force_axis_y__shape_factor,force_axis_y,shape_factor
force_axis_y__impulse_factor,force_axis_y,impulse_factor
force_axis_y__clearance_factor,force_axis_y,clearance_factor
force_axis_y__energy,force_axis_y,energy
force_axis_y__variance,force_axis_y,variance
force_axis_y__zero_crossing_rate,force_axis_y,zero_crossing_rate
force_axis_y__dominant_freq,force_axis_y,dominant_freq
force_axis_y__dominant_amp,force_axis_y,dominant_amp
force_axis_y__spectral_centroid,force_axis_y,spectral_centroid
force_axis_y__spectral_spread,force_axis_y,spectral_spread
force_axis_y__spectral_variance,force_axis_y,spectral_variance
force_axis_y__spectral_entropy,force_axis_y,spectral_entropy
