feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch5_wp_energy_3__rel,0.38212328481112134,1.10859130816322,0.6100051964222208,0.11200760056275895,1.1046427689846163
ch2_shape_factor__rel,0.3376565565417138,1.03560469903961,0.6901980878635843,0.027143624934420255,1.1039925364576728
ch5_iqr__rel,0.3920062530198265,1.0474165758367207,0.6224435833045675,0.10542527130018643,1.1032478057271082
ch5_wp_energy_2__rel,0.32890119955042874,1.2019560696929323,0.6500275276695935,0.10922197193727663,1.1017633939382279
ch5_band_power_q1__rel,0.3930411103322433,1.1330053308705352,0.6032549664512277,0.16938942324935274,1.1014010205810567
ch2_q75__rel,0.3800567627104787,0.9978507636345744,0.6529851686246955,0.0718051578214972,1.1013202437596863
ch5_wp_energy_5__rel,0.42942350550000175,0.8006939208649446,0.6888255871997365,0.08691455745857275,1.101042706202087
ch1_rms_freq__online_rank,0.4125913333463136,1.5095191497462905,0.3674394622699553,0.24064672053280106,1.1000475211541416
ch3_wp_energy_ratio_7__online_rank,0.4808906738707259,0.8359357482930401,0.5198146847287559,0.02180149467375873,1.0998248066253626
ch1_min__online_rank,0.5504331908766691,0.778709827333453,0.5070344674493222,0.1703171725899972,1.0972828962216727
ch5_spec_entropy__online_rank,0.39483557929128144,1.0849712827134868,0.6134399523872616,0.16428098101031843,1.0939527166295127
ch4_wp_energy_8__rel,0.3362180716723635,1.5671375006134358,0.6160920057567371,0.47011881202836436,1.0926470230105803
ch5_mean_abs__rel,0.34705503123492787,1.109528456249925,0.6367180027369604,0.08084408972902717,1.0919949641460631
ch1_shape_factor__rel,0.5227780775677828,1.6444964398895223,0.09649324711221201,0.3412011329323818,1.0842805286712769
ch7_wp_energy_ratio_3__rel,0.5130213530082313,1.3786342625090056,0.48754910083461045,0.6893258154282915,1.07373345024634
ch6_band_power_q4__rel,0.33059216577522066,1.4014638422121686,0.4113806112304624,0.03470083756503243,1.068277770155995
ch4_band_ratio_q4_q1__rel,0.4620594450295117,1.474716203919741,0.27923942753397896,0.314360933835326,1.0679714192056966
ch6_wp_energy_5__rel,0.3977192763693178,0.918837068121086,0.6186877468168699,0.09293892032720658,1.066833816483386
ch2_wp_energy_7__rel,0.34558462799986156,1.0300072688571449,0.7125706268628312,0.19718663755350227,1.0635441565306798
ch6_spec_centroid__rel,0.36466524586535987,1.056377051971963,0.7536457961595703,0.35185240711657173,1.0622205840390464
ch6_wp_energy_ratio_1__online_rank,0.40841060412746244,1.0552277861820736,0.8083988148236241,0.5818866918716159,1.059540395701862
ch6_q25__rel,0.33867858645388416,0.830354477700495,0.7425827357578637,0.05152299751298835,1.0535579678317248
ch1_median__rel,0.39940365553037527,1.6214332439210128,0.19486570161945305,0.1823377199365939,1.0502035903686586
ch5_wp_energy_6__rel,0.38859753739434066,0.7349336473924115,0.6730437984509279,0.019575661041330312,1.0480066755046635
ch1_wp_energy_ratio_8__online_rank,0.5471687267414989,1.1798179457968967,0.0815499362088579,0.039194051485680455,1.0459564273394462
ch4_wp_energy_3__rel,0.35622283812583544,0.9299390510440246,0.6566862513459002,0.10643222419963969,1.0412499495741987
ch7_median__rel,0.45161721381548503,1.1246080633755842,0.3208469742573208,0.07892100626140108,1.0392352410285242
ch4_std__rel,0.3614179669640947,0.8882364250728325,0.6386868412976866,0.058647800050629695,1.039193545132003
ch4_total_power__rel,0.3425888616769863,0.9066290597050646,0.6564335308363435,0.046516277462753435,1.0389256635894828
ch4_rms__rel,0.35511039272405687,0.9101721475348841,0.637771215812125,0.06118369279736977,1.0385415598512613
ch6_q75__rel,0.2944761178192352,0.9289165176905181,0.7022539953103024,0.005272831735882323,1.0334387171059478
