feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch6_q75__rel,0.4829213125600986,1.0117955255261943,0.7755890020931232,0.0,1.3119158289014945
ch2_wp_energy_7__rel,0.4328630641283002,1.1159890190849824,0.8081296600291138,0.0,1.3112168402368867
ch1_band_power_q4__rel,0.5778067038183043,1.0519407929354756,0.5581797984815609,0.0,1.3107655408924097
ch5_dom_power__rel,0.4175513988129378,1.3328210329104997,0.694639085471268,0.0,1.307845397222104
ch5_wp_energy_4__rel,0.45467650855033925,1.1836796745446398,0.7043383777641211,0.0,1.3018181532662638
ch6_q25__rel,0.49314212580239203,0.8939214487976934,0.8111788761241105,0.0,1.3014772273300848
ch3_std__rel,0.44580713040927855,1.241494669601797,0.6830662779790069,0.0,1.3005974306992893
ch6_wp_energy_ratio_5__online_rank,0.4540910300295604,1.0524251868483465,0.781711483887599,0.0,1.2977902645676174
ch1_wp_energy_ratio_8__online_rank,0.5761280212656283,1.4718825889256433,0.27046791540200493,0.0,1.297657082987269
ch2_mean_abs__rel,0.4277511180259612,1.130053184064804,0.7816361498297391,0.0,1.2959447266575952
ch2_min__online_rank,0.5539818278504143,0.7606558753362243,0.7572207268390935,0.0,1.2920809667646358
ch4_wp_energy_6__rel,0.48302682738127034,0.9858788794065583,0.7536959186459538,0.0,1.2909198731669675
ch6_wp_energy_8__online_rank,0.5625434784609573,1.409840740121441,0.3228373631327185,0.0,1.2898026350725527
ch3_wp_energy_7__rel,0.43994448120680074,1.035639758506508,0.8036212379704203,0.0,1.28840452568849
ch2_wp_entropy__rel,0.5180847748900204,0.9406164018005381,0.7073207512007833,0.0,1.2881354061696415
ch3_wp_energy_4__rel,0.49803882779037245,1.0458761868127082,0.6705229074046662,0.0,1.282686975026424
ch6_wp_energy_ratio_8__online_rank,0.6478488817187675,1.440806222390556,0.11894743057256317,0.0,1.2823370345422487
ch4_band_power_q3__rel,0.480656023708945,0.9500975481015055,0.7643133371078831,0.0,1.2816281033247021
ch6_rms_freq__rel,0.4344736972952141,1.3261840523676192,0.6143314730145573,0.0,1.2799677955114088
ch2_rms__rel,0.3890760974964569,1.19883363039644,0.7858493501474557,0.0,1.2797926204659573
