Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B12,0.571428571,0.53453997,0.564814815,0.615384615,0.588235294,0.4,0.888888889,0.555555556,0.25,0.625,0.444444444,0.0,0.111111111,0.625,2,0,0.175340217,3,3,45,b11_sample_01,0.459684133
bestcase_candidate,CAND045,2026,"1,2,4,5,7,8,9,13,15","3,10,12","6,11,14,16",B10,0.53125,0.528640442,0.519360269,0.571428571,0.347826087,0.666666667,0.444444444,0.363636364,0.75,0.333333333,0.090909091,0.545454545,0.555555556,0.25,0,0,0.047684389,3,3,20,tiny_L3_k20,0.474417188
bestcase_candidate,CAND158,2026,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",B10,0.78125,0.527383367,0.537037037,0.823529412,0.0,0.75862069,1.0,0.0,0.611111111,0.0,0.0,0.0,0.0,0.055555556,0,2,0.233701621,3,3,20,tiny_L3_k20,0.544469517
bestcase_candidate,CAND124,2026,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",B10,0.542857143,0.526002506,0.576923077,0.571428571,0.631578947,0.375,1.0,0.5,0.230769231,0.857142857,0.5,0.0,0.0,0.076923077,1,1,0.214389536,3,3,20,tiny_L3_k20,0.407955323
bestcase_candidate,CAND198,2026,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",B11,0.53125,0.512670565,0.55,0.666666667,0.555555556,0.315789474,0.9,0.5,0.25,0.625,0.2,0.3,0.0,0.25,3,2,0.128880675,3,3,20,b11_tiny_L3_k20,0.528837959
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B11,0.542857143,0.506242985,0.546296296,0.592592593,0.5625,0.363636364,0.888888889,0.5,0.25,0.642857143,0.444444444,0.055555556,0.111111111,0.5,1,0,0.314207476,3,3,45,b11_sample_01,0.510503584
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B11,0.5,0.5,0.666666667,0.5,0.5,0.5,1.0,0.333333333,0.666666667,1.0,0.380952381,0.285714286,0.0,0.0,1,0,0.053747565,3,3,20,b11_tiny_L3_k20,0.464237311
bestcase_candidate,CAND078,2026,"1,4,6,8,9,10,13,14,16","5,11,12","2,3,7,15",B10,0.657142857,0.488095238,0.518518519,0.714285714,0.75,0.0,0.555555556,1.0,0.0,0.6,0.0,0.0,0.444444444,1.0,0,0,0.026610941,2,3,20,tiny_L3_k20,0.511329286
bestcase_candidate,CAND109,2026,"1,2,4,5,6,7,9,13,14","3,10,12","8,11,15,16",B10,0.558823529,0.484430082,0.483363042,0.25,0.594594595,0.608695652,0.166666667,0.647058824,0.636363636,0.55,0.058823529,0.294117647,0.833333333,0.363636364,0,0,0.346320914,3,3,20,tiny_L3_k20,0.684309619
bestcase_candidate,CAND103,2026,"1,4,5,7,8,9,13,14,16","3,10,12","2,6,11,15",B10,0.485714286,0.483088599,0.543833944,0.482758621,0.545454545,0.421052632,0.466666667,0.857142857,0.307692308,0.4,0.142857143,0.0,0.4,0.230769231,2,1,0.101976898,3,4,30,small_L4_k30,0.676691834
