feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_y__rms__rank,0.27043526291330755,0.8461137037309139,0.22862132810021438,1.2998817861391392,0.7617150640339986,domain_id,False,131,
force_sensor_y__kurtosis__rank,0.2288777964829911,0.6433575329461094,0.2939094891724694,0.6918790231925778,0.7616838216065688,domain_id,False,132,
force_sensor_z__peak__rank,0.22940548210152523,0.8832449457538041,0.2477789792889898,1.077378283128551,0.7610907044955267,domain_id,False,133,
force_sensor_x__band4_energy_ratio__rel,0.2156922547106983,0.5133769284572969,0.33376150115366127,0.48477409180894393,0.7590497571995642,domain_id,False,134,
force_sensor_y__energy__rank,0.2674498347384642,0.844398242819171,0.22859972717840116,1.2996696609594205,0.7570286643875144,domain_id,False,135,
position_control_deviation_axis_x__dominant_freq__rank,0.282474302457026,1.3513986578280943,0.09161863349643828,1.9769736431294715,0.7495935897481903,domain_id,False,136,
force_sensor_z__spectral_rolloff95__rank,0.2754193594856744,1.1326216512426384,0.06927664067058123,0.9283482829916118,0.7492391236214613,domain_id,False,137,
force_sensor_z__band0_energy_ratio__rel,0.1398245940345071,0.4272908825109081,0.4044829927535209,0.11427179955679376,0.7341611541260756,domain_id,False,138,
force_sensor_x__band4_energy_ratio__rank,0.22431863874050584,0.4449530624202209,0.329512544365171,0.5835336899772159,0.7320970594555839,domain_id,False,139,
torque_spindle__spectral_rolloff95__rel,0.22937341931185928,0.6430687026140904,0.19523642480436681,0.09257690150786785,0.7259195754249351,domain_id,False,140,
force_sensor_y__abs_mean__rank,0.265174533709875,0.8612866912496644,0.20267308455744545,1.3785749054940224,0.7257637563508157,domain_id,False,141,
force_sensor_x__dominant_amp__rank,0.3428823419214464,0.9103337064021968,0.0030334903903102544,0.6742329262627643,0.7229334497506633,domain_id,False,142,
force_sensor_y__spectral_rms__rank,0.297183770946732,0.8649934092026426,0.1681582439877673,1.546182330655679,0.7188692595207948,domain_id,False,143,
position_control_deviation_axis_y__crest_factor__rel,0.2404436684100819,0.45301841073247706,0.4664478173190226,2.275235899068766,0.7179673933747146,domain_id,False,144,
force_sensor_y__total_power__rank,0.2937344220937106,0.8701958478843159,0.16801806083658388,1.5464112049261414,0.7158331631079048,domain_id,False,145,
force_sensor_x__variance__slope,0.14309033168710927,0.2914857857181099,0.41867418592880506,0.0406900263724884,0.7123977550226515,domain_id,False,146,
force_sensor_z__impulse_factor__rank,0.29215143660441556,0.718560015507598,0.12727031789689303,0.6774520931970816,0.7096290698714688,domain_id,False,147,
position_control_deviation_axis_y__dominant_amp__rel,0.31493499622834054,0.6465017040660856,0.3445932881561039,2.8573134408077934,0.7058512228427805,domain_id,False,148,
position_control_deviation_axis_y__spectral_skewness__rel,0.2269932936022403,0.783547567031011,0.23116669770165393,1.0920658692352092,0.7043648394344417,domain_id,False,149,
force_sensor_y__spectral_spread__rel,0.18895444410946816,0.737536958679545,0.250413128934157,0.6537612635394494,0.700932527881843,domain_id,False,150,
force_sensor_z__clearance_factor__rel,0.25949554883161907,0.8168753054118056,0.13695520917003548,0.7688328475029469,0.6999848993964641,domain_id,False,151,
force_sensor_y__crest_factor__rel,0.29477051034612844,0.6641394551099955,0.11938129388376749,0.5558480163898947,0.6987040724791423,domain_id,False,152,
force_sensor_x__spectral_skewness__rank,0.17946939879403234,0.5315295274979697,0.28203073404505413,0.17588298119382953,0.6963731418202425,domain_id,False,153,
force_sensor_y__crest_factor__rank,0.2779477422356873,0.6513831043114715,0.13060637370624026,0.4634981281208368,0.6920305532544877,domain_id,False,154,
position_control_deviation_axis_y__zero_crossing_rate__rel,0.2033762675651627,0.5581249122585055,0.23144386954845222,0.15192341966063613,0.6903614182282377,domain_id,False,155,
force_sensor_y__std__rank,0.26941898035281975,0.8789848511345952,0.16330353214232718,1.5396633940082225,0.6817039811601084,domain_id,False,156,
position_control_deviation_axis_y__kurtosis__rel,0.286679587394151,0.534024309982216,0.44166695740155426,3.2873012343027486,0.6797767183039671,domain_id,False,157,
force_sensor_z__mean__rank,0.20088305855446364,0.5932225606143393,0.21263016753310307,0.16200686911732695,0.6795153341811595,domain_id,False,158,
force_sensor_x__zero_crossing_rate__rel,0.17241265187178811,0.6723156086052198,0.2333555153757833,0.2711920612616813,0.6779752640476758,domain_id,False,159,
force_sensor_x__std__slope,0.1283291505549078,0.23847494379920686,0.41935013386807907,0.039220687841472715,0.6742909855007152,domain_id,False,160,
force_sensor_y__spectral_variance__rel,0.17356746876304574,0.7155224310575825,0.24873740035692105,0.6306736859609796,0.6728391314070521,domain_id,False,161,
force_sensor_y__variance__rank,0.2607391053145873,0.8836239378719837,0.16330353214232718,1.5396633940082225,0.6714848507379976,domain_id,False,162,
force_sensor_z__band1_energy_ratio__rel,0.17307988399923335,0.4617803381588077,0.27951306399532544,0.10640284725132411,0.6676618124115885,domain_id,False,163,
force_sensor_x__total_power__slope,0.13194311389132984,0.27170095241898773,0.3886894060164066,0.04195260055992808,0.6600455821538781,domain_id,False,164,
force_sensor_x__zero_crossing_rate__rank,0.1292710986555643,0.544268796971294,0.3355885233950974,0.42621615187702394,0.6598059723519248,domain_id,False,165,
position_control_deviation_axis_x__band3_energy_ratio__rank,0.2604537297178382,0.5109315894563928,0.29451636902393724,1.6497405664540474,0.658937600220191,domain_id,False,166,
force_sensor_x__energy__slope,0.13957014089046393,0.306929561460056,0.3616643774880916,0.014346657743951278,0.6587841204575327,domain_id,False,167,
force_sensor_y__spectral_variance__rank,0.20466782470706124,0.7043245502363327,0.23063752228481907,0.9742527618115215,0.6575389340847967,domain_id,False,168,
force_sensor_y__spectral_spread__rank,0.202252330687972,0.7041769528100721,0.23063752228481907,0.9742527618115215,0.6541858705255347,domain_id,False,169,
force_sensor_y__band2_energy_ratio__rank,0.16236933752092586,0.48081381992542926,0.2904926717082967,0.30313729445385884,0.6502800151141052,domain_id,False,170,
position_control_deviation_axis_y__spectral_centroid__rel,0.21367038648237013,0.7620562396351227,0.3045645929087575,2.1443915863447662,0.6424964633297274,domain_id,False,171,
position_control_deviation_axis_y__band1_energy_ratio__rel,0.16991930564308633,0.32665047290404914,0.41985887260803056,1.198834982958828,0.6422325418595125,domain_id,False,172,
position_control_deviation_axis_y__band4_energy_ratio__rel,0.2140407660602921,0.8303620847771942,0.1628471548912036,1.0461165916846682,0.6396954423544848,domain_id,False,173,
position_control_deviation_axis_x__band1_energy_ratio__rank,0.2543639970487903,0.4901779436447238,0.2864886678235212,1.6294307695065582,0.6373544838444081,domain_id,False,174,
force_sensor_y__band2_energy_ratio__rel,0.1630076011018169,0.4883068426976145,0.2779193649340093,0.3495336255796478,0.6364054826756391,domain_id,False,175,
position_control_deviation_axis_y__spectral_variance__rel,0.2242216649317046,0.8173796694714355,0.12480347483701597,0.8688340925644842,0.6294080647592287,domain_id,False,176,
force_sensor_x__rms__slope,0.12397891332517941,0.2662970357852874,0.36574768069203367,0.020042984285531817,0.6265866464656936,domain_id,False,177,
position_control_deviation_axis_x__skewness__rel,0.2573812694990436,0.4254108643429517,0.26034155112144874,1.3147368468251583,0.6251366018569047,domain_id,False,178,
force_sensor_y__dominant_amp__rank,0.2728977333695821,0.9447467009234267,0.11516024809413443,1.9123907964101552,0.6228244246504477,domain_id,False,179,
position_control_deviation_axis_y__spectral_entropy__rel,0.24558131741658107,0.5837355817909153,0.2968176798124642,2.0913265031133528,0.6207560899785323,domain_id,False,180,
force_sensor_x__band0_energy_ratio__rank,0.1846813012002957,0.4847101267271601,0.21743393768532993,0.24086421137528702,0.6155672337211333,domain_id,False,181,
force_sensor_z__clearance_factor__rank,0.2662963104332179,0.6730243234981792,0.09014496600639214,0.7503018286054427,0.613476899035254,domain_id,False,182,
position_control_deviation_axis_x__spectral_entropy__rank,0.24008827169528124,0.5078596696002204,0.26517880289014706,1.5554434353833742,0.6104907876068741,domain_id,False,183,
