Split_type,Task,Seed,Phase,Score,q_prior_weakening,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,true_dist_E,true_dist_M,true_dist_L,pred_dist_E,pred_dist_M,pred_dist_L,distribution_l1_penalty,min_pred_ratio,n_eval,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
case_split,CSP1,2026,random160,0.33108080150982894,False,0.95,0.03,2.0,0.005,0.45,0.6,0.0,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.2008207444498372,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.324061194779192,False,0.95,0.1,1.2,0.01,0.35,0.7,0.0,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.28856582858279933,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.322250557658831,False,0.92,0.1,1.0,0.0,0.35,0.55,0.03,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.311198792587312,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3275180381187247,False,0.9,0.05,1.5,0.005,0.35,0.75,0.03,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.24535528683864033,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3622589436445481,False,0.85,0.03,2.0,0.01,0.4,0.75,0.1,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.2777777777777778,0.1111111111111111,36,B12,0.6111111111111112,0.5882597340930675,0.5888888888888889,0.46153846153846156,0.5625,0.7407407407407408,0.3333333333333333,0.6,0.8333333333333334,0.5294117647058824,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.16666666666666666,0,0,0.1912135843101959,3,0.3333333333333333,0.6,0.8333333333333334
case_split,CSP1,2026,random160,0.327600885608016,False,0.92,0.15,1.5,0.0,0.4,0.55,0.0,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.24431969322249897,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3316543409034285,False,0.9,0.15,2.0,0.005,0.3,0.6,0.03,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.19365150202984308,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3247779811496796,False,0.92,0.0,1.2,0.005,0.35,0.75,0.08,0.55,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.2796059989517039,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.3229060091391999,False,0.9,0.0,1.0,0.005,0.45,0.6,0.1,0.45,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.30300564908270033,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
case_split,CSP1,2026,random160,0.32486234923227275,False,0.9,0.1,1.2,0.0,0.45,0.7,0.08,0.35,0.25,0.4166666666666667,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.27777777777777773,0.1111111111111111,36,B12,0.5833333333333334,0.5639844026940802,0.5666666666666668,0.46153846153846156,0.5161290322580646,0.7142857142857143,0.3333333333333333,0.5333333333333333,0.8333333333333334,0.5,0.06666666666666667,0.4,0.6666666666666666,0.16666666666666666,0,0,0.27855139791928973,3,0.3333333333333333,0.5333333333333333,0.8333333333333334
