Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
case_split,CSP3,2026,b11_mid_L5_k45,-0.17751485463608602,45,0.42512077294685985,0.5087719298245613,0.6666666666666666,0.5263157894736842,0.3018024162641571,0.8498168498168497,0.8350761428727349,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
case_split,CSP3,2026,b11_wide_L4_k60,0.06360537138863825,1,0.2912912912912912,0.30158730158730157,0.5405405405405405,0.47619047619047616,0.014525436692767672,-0.16974416017797553,-0.25105870160845745,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
case_split,CSP3,2026,b11_sample_01,0.540791120883035,14,0.6601307189542484,0.707936507936508,0.6470588235294118,0.5238095238095238,0.3318307485586653,0.8556149732620322,0.7686966663447327,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
case_split,CSP3,2026,b11_sample_02,-0.15112468428839737,15,0.4791666666666667,0.49299719887955185,0.8125,0.7647058823529411,0.18598910935577892,0.4834782608695652,0.5701196252559816,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
case_split,CSP3,2026,b11_sample_03,0.5664553386778991,11,0.7129629629629631,0.7746031746031746,0.6666666666666667,0.5238095238095238,0.29158290612200893,0.7673796791443851,0.7488364893129195,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
case_split,CSP3,2026,b11_sample_04,0.5363345233644659,26,0.6601307189542484,0.707936507936508,0.6470588235294118,0.5238095238095238,0.31790741893152397,0.797125668449198,0.7628767568418627,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
case_split,CSP3,2026,b11_sample_05,-0.08360641803594654,47,0.5382882882882883,0.5664160401002506,0.8648648648648649,0.8421052631578947,0.2791966563866784,0.8137973137973138,0.8175532622094219,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
case_split,CSP4,2026,b11_tiny_L3_k20,0.4080775918586472,3,0.5094043887147336,0.4939839572192513,0.5,0.47058823529411764,0.05369013547897339,0.4501930501930502,0.39537419542753577,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
case_split,CSP4,2026,b11_small_L4_k30_qweak,0.4981249786520503,8,0.6444444444444444,0.6491978609625669,0.5999999999999999,0.5294117647058824,0.19075704651574293,0.5330882352941178,0.5871883132202462,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
case_split,CSP4,2026,b11_mid_L5_k45,-0.2873608368163328,14,0.38143891017454234,0.42020202020202024,0.5925925925925926,0.5333333333333333,0.11946153585557584,-0.3161290322580645,-0.26001370474248287,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
case_split,CSP4,2026,b11_wide_L4_k60,0.36667385546849535,2,0.4918684918684919,0.4506238859180036,0.5405405405405405,0.5882352941176471,0.021197356780370078,-0.6801470588235294,-0.6938689867275959,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
case_split,CSP4,2026,b11_sample_01,0.43184114924316835,2,0.6523809523809524,0.6599821746880571,0.5,0.4117647058823529,0.04426994377916509,-0.3127413127413128,-0.21730384148860438,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
case_split,CSP4,2026,b11_sample_02,-0.21114010288758056,17,0.41718426501035194,0.4522144522144522,0.608695652173913,0.5384615384615384,0.22795235194886723,0.6825396825396824,0.6927653182289428,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
case_split,CSP4,2026,b11_sample_03,0.4735530788860526,13,0.618377321603128,0.6348039215686274,0.5999999999999999,0.5294117647058824,0.3615698699811191,0.6293436293436294,0.6694890992889307,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
case_split,CSP4,2026,b11_sample_04,0.3840861494661452,22,0.5446308077887024,0.6004901960784313,0.2857142857142857,0.17647058823529413,0.1892861963221521,0.7196911196911198,0.6748815067871554,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
case_split,CSP4,2026,b11_sample_05,-0.24727599909296305,2,0.27155172413793105,0.3863636363636364,0.0,0.0,0.02069582872920566,0.09632925472747497,0.12584159506052323,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
